MatBrO,ImeOpsCir,ImeOpsLat,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12
"70793",МАЛИ ЗВОРНИК,MALI ZVORNIK,6.64,8.46,6.70,2.04,3.02,11.41,8.26,33.45,20.02,0.00,0.00,0.00,0.00
"71315",ЦРВЕНИ КРСТ,CRVENI KRST,0.22,1.20,8.32,16.32,8.72,7.05,4.34,7.24,13.19,17.36,15.93,0.11,0.00
"70033",АРАНЂЕЛОВАЦ,ARANĐELOVAC,6.40,4.18,6.86,9.82,7.29,9.46,3.79,9.23,25.51,17.46,0.00,0.00,0.00
"80233",КУЛА,KULA,0.84,1.61,2.92,7.59,7.94,12.59,14.39,22.05,27.79,2.27,0.00,0.00,0.00
"71056",СВИЛАЈНАЦ,SVILAJNAC,1.07,2.48,13.64,32.78,20.60,4.38,3.60,7.56,7.45,6.43,0.00,0.00,0.00
"70289",БОГАТИЋ,BOGATIĆ,2.93,2.46,12.00,39.17,17.84,9.47,6.87,5.73,3.13,0.41,0.00,0.00,0.00
"80489",ЧОКА,ČOKA,6.73,3.59,7.64,25.86,17.01,19.09,10.17,6.18,3.73,0.00,0.00,0.00,0.00
"80241",МАЛИ ИЂОШ,MALI IĐOŠ,0.65,1.86,2.99,9.68,18.76,22.67,8.99,34.41,0.00,0.00,0.00,0.00,0.00
"71293",СУРЧИН,SURČIN,0.46,0.06,0.95,7.49,5.46,15.46,12.96,28.46,24.12,1.49,1.47,1.62,0.00
"80497",ШИД,ŠID,5.16,3.83,13.15,23.96,13.11,8.27,8.37,7.10,16.75,0.30,0.00,0.00,0.00
"70521",ЖАБАРИ,ŽABARI,4.32,13.61,37.78,25.05,7.28,7.47,4.49,0.00,0.00,0.00,0.00,0.00,0.00
"70777",ЉУБОВИЈА,LJUBOVIJA,24.96,13.43,9.30,13.83,7.37,6.67,0.89,2.96,12.96,7.64,0.00,0.00,0.00
"70017",АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,4.49,9.33,28.59,15.54,7.96,6.16,4.54,12.50,10.90,0.00,0.00,0.00,0.00
"80217",КОВАЧИЦА,KOVAČICA,2.01,2.30,6.60,18.56,22.39,20.93,15.21,9.14,2.86,0.00,0.00,0.00,0.00
"70530",ЖАГУБИЦА,ŽAGUBICA,20.58,57.80,9.93,8.38,3.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"70785",МАЈДАНПЕК,MAJDANPEK,31.15,27.74,18.69,10.49,2.18,0.96,1.18,2.18,5.44,0.00,0.00,0.00,0.00
"70254",ЧУКАРИЦА,ČUKARICA,0.03,0.01,0.05,0.69,3.71,7.17,9.08,16.71,26.06,19.24,16.79,0.46,0.00
"71021",РАШКА,RAŠKA,12.36,4.32,7.45,8.10,3.52,3.19,9.62,15.83,14.54,18.81,2.27,0.00,0.00
"80225",КОВИН,KOVIN,3.80,1.28,2.83,5.36,6.28,7.16,11.80,21.50,28.28,11.04,0.68,0.00,0.00
"71277",ЛАПОВО,LAPOVO,0.53,0.91,2.29,4.82,15.45,19.53,6.84,20.42,22.94,6.28,0.00,0.00,0.00
"70505",ДИМИТРОВГРАД,DIMITROVGRAD,7.27,1.33,0.71,0.95,5.31,5.47,2.31,15.31,28.24,30.56,2.53,0.00,0.00
"70262",БЛАЦЕ,BLACE,32.94,6.03,0.48,2.69,4.05,4.34,2.13,22.38,24.96,0.00,0.00,0.00,0.00
"80462",ВРБАС,VRBAS,0.81,0.87,3.45,14.64,17.23,12.53,15.64,16.94,15.75,2.14,0.00,0.00,0.00
"71030",РЕКОВАЦ,REKOVAC,1.54,16.73,39.83,27.21,7.08,5.58,2.04,0.00,0.00,0.00,0.00,0.00,0.00
"71285",НИШКА БАЊА,NIŠKA BANJA,0.73,4.07,2.62,18.60,12.51,4.87,6.69,2.04,46.39,1.50,0.00,0.00,0.00
"70513",ДОЉЕВАЦ,DOLJEVAC,0.10,2.06,22.68,27.11,12.58,10.45,7.79,15.72,1.52,0.00,0.00,0.00,0.00
"70769",ЉИГ,LJIG,18.38,8.96,21.67,10.14,4.40,4.19,3.03,11.33,17.90,0.00,0.00,0.00,0.00
"70238",СОПОТ,SOPOT,4.52,3.00,30.45,34.79,10.54,3.61,3.40,4.28,4.00,1.40,0.00,0.00,0.00
"70491",ДЕСПОТОВАЦ,DESPOTOVAC,1.23,3.57,25.74,34.82,15.97,5.30,1.71,5.90,5.76,0.00,0.00,0.00,0.00
"80209",КИКИНДА,KIKINDA,1.90,1.54,6.19,18.40,12.61,9.98,9.53,12.41,20.85,6.20,0.40,0.00,0.00
"71005",РАЖАЊ,RAŽANJ,30.23,45.66,4.02,1.32,1.53,1.73,0.02,15.49,0.00,0.00,0.00,0.00,0.00
