MatBrO,ImeOpsCir,ImeOpsLat,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12
"90042",ГЊИЛАНЕ,GNJILANE,1.31,9.00,16.40,20.59,8.00,5.76,2.97,9.22,20.98,5.76,0.00,0.00,0.00
"90166",ЛИПЉАН,LIPLJAN,0.91,10.27,32.70,31.79,6.54,3.40,3.42,5.81,3.55,0.79,0.82,0.00,0.00
"90182",НОВО БРДО,NOVO BRDO,29.39,65.31,5.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"90069",ДЕЧАНИ,DEČANI,17.00,11.62,44.85,12.99,2.74,1.33,5.23,0.93,3.32,0.00,0.00,0.00,0.00
"90131",КОСОВО ПОЉЕ,KOSOVO POLJE,0.97,0.05,4.99,19.90,15.13,9.03,5.04,15.13,21.62,8.14,0.00,0.00,0.00
"90123",КЛИНА,KLINA,8.42,28.50,37.36,7.02,8.27,7.02,3.41,0.00,0.00,0.00,0.00,0.00,0.00
"90034",ГЛОГОВАЦ,GLOGOVAC,1.85,10.55,27.54,8.09,17.24,7.56,3.35,8.86,14.96,0.00,0.00,0.00,0.00
"90140",КОСОВСКА КАМЕНИЦА,KOSOVSKA KAMENICA,6.07,32.96,32.70,17.10,1.46,7.44,2.27,0.00,0.00,0.00,0.00,0.00,0.00
"90204",ОБИЛИЋ,OBILIĆ,0.51,0.96,11.77,33.32,17.69,10.24,13.16,12.35,0.00,0.00,0.00,0.00,0.00
"90263",ПРИШТИНА-ГРАД,PRIŠTINA-GRAD,0.53,0.66,2.70,8.27,6.40,9.69,7.50,13.95,24.37,15.78,10.15,0.00,0.00
"90239",ПЕЋ,PEĆ,4.83,6.63,10.60,9.39,4.96,3.71,5.13,8.91,26.50,19.34,0.00,0.00,0.00
"90271",СРБИЦА,SRBICA,6.66,24.50,18.41,4.79,3.80,4.39,2.67,13.13,21.65,0.00,0.00,0.00,0.00
"90298",КОСОВСКА МИТРОВИЦА,KOSOVSKA MITROVICA,2.77,5.49,5.75,6.31,10.41,5.75,7.09,11.40,28.29,16.74,0.00,0.00,0.00
"90247",ПОДУЈЕВО,PODUJEVO,2.51,9.26,21.75,15.61,16.18,6.13,10.46,5.58,12.53,0.00,0.00,0.00,0.00
"90158",ЛЕПОСАВИЋ,LEPOSAVIĆ,17.96,3.70,3.08,6.52,1.12,3.84,1.03,13.23,49.52,0.00,0.00,0.00,0.00
"90107",ИСТОК,ISTOK,13.54,21.53,10.09,34.02,3.61,7.23,0.00,9.97,0.00,0.00,0.00,0.00,0.00
