MatBrO,ImeOpsCir,ImeOpsLat,LEN_Moto,LEN_Trunk,LEN_Prim,LEN_Sec,LEN_Tert,Area,LEN_All,DENS_Moto,DENS_Trunk,DENS_Prim,DENS_Sec,DENS_Tert,DENS_All
"71064",СВРЉИГ,SVRLJIG,0.0000,0.0000,20.6424,43.2312,19.4955,497.2874,83.3691,0.00,0.00,0.04,0.09,0.04,0.17
"70564",ИВАЊИЦА,IVANJICA,0.0000,0.0000,79.6105,107.6500,7.0601,1089.6965,194.3206,0.00,0.00,0.07,0.10,0.01,0.18
"70050",БАБУШНИЦА,BABUŠNICA,0.0000,0.0000,31.5977,40.8476,2.3217,528.6538,74.7670,0.00,0.00,0.06,0.08,0.00,0.14
"71331",МЕДИЈАНА,MEDIJANA,1.5719,0.0000,16.2470,4.3634,16.5483,10.6683,38.7306,0.15,0.00,1.52,0.41,1.55,3.63
"80250",НОВА ЦРЊА,NOVA CRNJA,0.0000,0.0000,19.9113,11.9735,6.9222,272.6068,38.8070,0.00,0.00,0.07,0.04,0.03,0.14
"70815",МЕДВЕЂА,MEDVEĐA,0.0000,0.0000,37.1692,22.0705,8.9851,523.9243,68.2248,0.00,0.00,0.07,0.04,0.02,0.13
"71072",СЈЕНИЦА,SJENICA,0.0000,0.0000,66.0354,77.3355,18.2912,1058.3619,161.6621,0.00,0.00,0.06,0.07,0.02,0.15
"71307",ПАНТЕЛЕЈ,PANTELEJ,27.1978,0.0000,24.7018,5.9334,24.5974,141.7353,82.4304,0.19,0.00,0.17,0.04,0.17,0.58
"70025",АЛЕКСИНАЦ,ALEKSINAC,67.1955,0.0000,0.0000,106.2831,11.0299,706.9571,184.5085,0.10,0.00,0.00,0.15,0.02,0.26
"71048",ЈАГОДИНА,JAGODINA,49.4037,0.0000,0.0000,81.4085,22.9072,469.6139,153.7194,0.11,0.00,0.00,0.17,0.05,0.33
"70548",ЖИТОРАЂА,ŽITORAĐA,0.0000,0.0000,0.0000,13.9536,25.6746,214.1338,39.6282,0.00,0.00,0.00,0.07,0.12,0.19
"70793",МАЛИ ЗВОРНИК,MALI ZVORNIK,0.0000,0.0000,35.9487,14.6878,1.5833,183.8663,52.2198,0.00,0.00,0.20,0.08,0.01,0.28
"71315",ЦРВЕНИ КРСТ,CRVENI KRST,42.4685,0.0000,18.8159,27.1645,38.3430,181.5120,126.7919,0.23,0.00,0.10,0.15,0.21,0.70
"70033",АРАНЂЕЛОВАЦ,ARANĐELOVAC,0.0000,0.0000,22.5798,43.8415,52.8516,375.7987,119.2729,0.00,0.00,0.06,0.12,0.14,0.32
"80233",КУЛА,KULA,0.0000,0.0000,26.5208,35.9800,14.5129,481.4185,77.0137,0.00,0.00,0.06,0.07,0.03,0.16
"71056",СВИЛАЈНАЦ,SVILAJNAC,0.0000,0.0000,2.9745,36.3878,31.0767,325.4383,70.4390,0.00,0.00,0.01,0.11,0.10,0.22
"70289",БОГАТИЋ,BOGATIĆ,0.0000,0.0000,28.6897,22.2560,29.5968,384.4609,80.5425,0.00,0.00,0.07,0.06,0.08,0.21
