MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,DENS_Moto,DENS_Trunk,DENS_Prim,DENS_Sec,DENS_Tert,DENS_All,LEN_Moto,LEN_Trunk,LEN_Prim,LEN_Sec,LEN_Tert,LEN_All,Area
"70998","735361",БЕЛОЉИН,BELOLJIN,ПРОКУПЉЕ,PROKUPLJE,0.00,0.00,0.76,0.00,0.00,0.76,0.0000,0.0000,4.8550,0.0000,0.0000,4.8550,6.4269
"71072","739596",ЗАБРЂЕ,ZABRĐE,СЈЕНИЦА,SJENICA,0.00,0.00,1.76,0.00,0.00,1.76,0.0000,0.0000,2.1362,0.0000,0.0000,2.1362,1.2159
"71072","739502",ДРАЖЕВИЋЕ,DRAŽEVIĆE,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,0.24,0.00,0.24,0.0000,0.0000,0.0000,3.8944,0.0000,3.8944,16.4043
"80233","802476",СИВАЦ,SIVAC,КУЛА,KULA,0.00,0.00,0.08,0.00,0.00,0.08,0.0000,0.0000,11.8989,0.0000,0.0000,11.8989,153.1238
"70947","733008",КЛИЧЕВАЦ,KLIČEVAC,ПОЖАРЕВАЦ,POŽAREVAC,0.00,0.00,0.00,0.00,0.21,0.21,0.0000,0.0000,0.0000,0.0000,6.5798,6.5798,31.9207
"70211","791083",БЕОГРАД (РАКОВИЦА),BEOGRAD (RAKOVICA),РАКОВИЦА,RAKOVICA,0.00,0.25,0.14,0.82,1.03,2.24,0.0000,7.3846,4.1944,24.6531,31.0823,67.3144,30.0421
"70955","733156",БАКИОНИЦА,BAKIONICA,ПОЖЕГА,POŽEGA,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6553
"71242","745901",ПРЕЉИНА,PRELJINA,ЧАЧАК,ČAČAK,0.01,0.00,0.32,0.00,0.05,0.38,0.1532,0.0000,3.6472,0.0000,0.6185,4.4189,11.5320
"71048","737992",ГЛАВИНЦИ,GLAVINCI,ЈАГОДИНА,JAGODINA,0.00,0.00,0.00,0.30,0.00,0.30,0.0000,0.0000,0.0000,2.1225,0.0000,2.1225,7.0725
"70912","731960",ПЕТРОВАЦ НА МЛАВИ,PETROVAC NA MLAVI,ПЕТРОВАЦ НА МЛАВИ,PETROVAC NA MLAVI,0.00,0.00,0.00,0.59,0.12,0.71,0.0000,0.0000,0.0000,12.9093,2.6057,15.5150,21.9306
"80012","800040",СТЕРИЈИНО,STERIJINO,АДА,ADA,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.4102
"70556","715832",НИКОЛИЧЕВО,NIKOLIČEVO,ЗАЈЕЧАР,ZAJEČAR,0.00,0.00,0.30,0.00,0.11,0.40,0.0000,0.0000,7.9818,0.0000,2.8589,10.8407,26.9752
"70629","718211",КОСЈЕРИЋ (СЕЛО),KOSJERIĆ (SELO),КОСЈЕРИЋ,KOSJERIĆ,0.00,0.00,0.07,0.23,0.27,0.56,0.0000,0.0000,1.1734,3.8725,4.6287,9.6746,17.2077
"70483","713457",КАМЕНИЦА,KAMENICA,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,0.00,0.00,0.00,3.15,0.00,3.15,0.0000,0.0000,0.0000,0.6492,0.0000,0.6492,0.2062
"70483","713279",ГОЈНА ГОРА,GOJNA GORA,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,0.00,0.00,0.00,0.34,0.28,0.62,0.0000,0.0000,0.0000,10.2014,8.2434,18.4448,29.8068
"70483","713708",СЕМЕДРАЖ,SEMEDRAŽ,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,0.64,0.00,0.25,0.00,0.17,1.06,7.8343,0.0000,3.1154,0.0000,2.0552,13.0049,12.3055
"71293","703893",ПРОГАР,PROGAR,СУРЧИН,SURČIN,0.00,0.00,0.00,0.08,0.20,0.28,0.0000,0.0000,0.0000,3.2699,7.7678,11.0377,39.0882
"70424","710938",КОМАРИЦА,KOMARICA,ВЛАСОТИНЦЕ,VLASOTINCE,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1497
"71200","744336",БАТИНАЦ,BATINAC,ЋУПРИЈА,ĆUPRIJA,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.6834
"70319","706299",ЈАБЛАНИЦА,JABLANICA,БОЉЕВАЦ,BOLJEVAC,0.00,0.00,0.01,0.00,0.06,0.06,0.0000,0.0000,0.3762,0.0000,4.7406,5.1168,78.9146
"70726","724165",ДОЊА КУПИНОВИЦА,DONJA KUPINOVICA,ЛЕСКОВАЦ,LESKOVAC,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0551
"71021","736902",БЕЛО ПОЉЕ,BELO POLJE,РАШКА,RAŠKA,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1620
"71072","739545",ДУГА ПОЉАНА,DUGA POLJANA,СЈЕНИЦА,SJENICA,0.00,0.00,0.23,0.13,0.00,0.36,0.0000,0.0000,2.0865,1.2018,0.0000,3.2883,9.2165
"70084","703427",ЦРВЕНА РЕКА,CRVENA REKA,БЕЛА ПАЛАНКА,BELA PALANKA,0.00,0.00,0.00,1.86,0.00,1.86,0.0000,0.0000,0.0000,1.2907,0.0000,1.2907,0.6937
"80128","801135",ИЗБИШТЕ,IZBIŠTE,ВРШАЦ,VRŠAC,0.00,0.00,0.00,0.10,0.00,0.10,0.0000,0.0000,0.0000,4.2249,0.0000,4.2249,41.5461
"80314","803111",КАЧАРЕВО,KAČAREVO,ПАНЧЕВО,PANČEVO,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.4405
"70742","726001",КРИВАЧА,KRIVAČA,ЛУЧАНИ,LUČANI,0.00,0.00,0.00,0.56,0.00,0.56,0.0000,0.0000,0.0000,2.0862,0.0000,2.0862,3.7325
"70688","722600",ТРЕБИЊЕ,TREBINJE,КУРШУМЛИЈА,KURŠUMLIJA,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8470
"71188","743313",БРНИШЕВО,BRNIŠEVO,ТУТИН,TUTIN,0.00,0.00,0.00,0.10,0.00,0.10,0.0000,0.0000,0.0000,0.2153,0.0000,0.2153,2.2394
"70602","717550",ЗУБЕТИНАЦ,ZUBETINAC,КЊАЖЕВАЦ,KNJAŽEVAC,0.00,0.00,0.00,0.00,0.05,0.04,0.0000,0.0000,0.0000,0.0000,0.9621,0.9621,21.6050
"70742","725846",ГОРЊИ ДУБАЦ,GORNJI DUBAC,ЛУЧАНИ,LUČANI,0.00,0.00,0.00,0.65,0.00,0.65,0.0000,0.0000,0.0000,15.1525,0.0000,15.1525,23.3347
"70327","706418",БОР,BOR,БОР,BOR,0.00,0.00,0.13,0.04,0.19,0.36,0.0000,0.0000,6.0773,1.8680,9.2401,17.1854,47.5890
"70483","713317",ГОРЊИ БРАНЕТИЋИ,GORNJI BRANETIĆI,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,0.00,0.00,0.00,0.00,0.27,0.27,0.0000,0.0000,0.0000,0.0000,5.0512,5.0512,18.9456
"70831","728357",РАДОБИЋ,RADOBIĆ,МИОНИЦА,MIONICA,0.00,0.00,0.00,0.47,0.00,0.47,0.0000,0.0000,0.0000,2.4931,0.0000,2.4931,5.3560
"70831","728217",КЛАШНИЋ,KLAŠNIĆ,МИОНИЦА,MIONICA,0.00,0.00,0.00,0.11,0.00,0.11,0.0000,0.0000,0.0000,0.3126,0.0000,0.3126,2.8403
"70360","708330",БОБОВА,BOBOVA,ВАЉЕВО,VALJEVO,0.00,0.00,0.00,0.31,0.00,0.31,0.0000,0.0000,0.0000,3.4256,0.0000,3.4256,11.1398
"71153","742040",ЖАБАРЕ,ŽABARE,ТОПОЛА,TOPOLA,0.00,0.00,0.21,0.00,0.00,0.21,0.0000,0.0000,3.6594,0.0000,0.0000,3.6594,17.6337
"71196","744247",ГРАД СТАЛАЋ,GRAD STALAĆ,ЋИЋЕВАЦ,ĆIĆEVAC,0.00,0.00,0.12,0.00,0.00,0.12,0.0000,0.0000,2.0797,0.0000,0.0000,2.0797,17.2666
