MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,P_LA_15,P_LA_15-19,SOL_15,SOL_15-19
"70726","723878",ВИНАРЦЕ,VINARCE,ЛЕСКОВАЦ,LESKOVAC,35.98,35.23,68.19,156.49
"70874","731030",ЧАШИЋ ДОЛАЦ,ČAŠIĆ DOLAC,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,0.00,4.92
"71188","744140",ЦРКВИНЕ,CRKVINE,ТУТИН,TUTIN,100.00,100.00,0.65,1.02
"71188","743674",ЈАРЕБИЦЕ,JAREBICE,ТУТИН,TUTIN,12.55,0.00,2.86,22.18
"70424","711152",ЦРНАТОВО,CRNATOVO,ВЛАСОТИНЦЕ,VLASOTINCE,23.16,0.84,2.61,13.41
"70050","701955",ВАЛНИШ,VALNIŠ,БАБУШНИЦА,BABUŠNICA,6.15,0.00,0.77,10.57
"71188","743640",ИЗРОК,IZROK,ТУТИН,TUTIN,34.82,4.47,0.79,2.68
"70955","733431",ПИЛАТОВИЋИ,PILATOVIĆI,ПОЖЕГА,POŽEGA,21.39,19.26,13.15,62.45
"71145","741523",ВРУТЦИ,VRUTCI,УЖИЦЕ,UŽICE,16.25,0.00,3.23,19.72
"71188","744115",ТОЧИЛОВО,TOČILOVO,ТУТИН,TUTIN,28.00,3.01,7.71,24.85
"71072","739146",АЛИВЕРОВИЋЕ,ALIVEROVIĆE,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,7.99
"70548","715247",ГОРЊЕ ЦРНАТОВО,GORNJE CRNATOVO,ЖИТОРАЂА,ŽITORAĐA,28.17,0.00,5.67,14.49
"70548","715492",ТОПОНИЦА,TOPONICA,ЖИТОРАЂА,ŽITORAĐA,34.87,1.74,11.51,23.23
"71021","736970",БОЋЕ,BOĆE,РАШКА,RAŠKA,0.00,0.00,0.00,14.25
"70653","720119",РОЋЕВИЋИ,ROĆEVIĆI,КРАЉЕВО,KRALJEVO,96.36,86.41,66.08,77.74
"70394","709522",ДОЉАШНИЦА,DOLJAŠNICA,ВЕЛИКО ГРАДИШТЕ,VELIKO GRADIŠTE,44.37,21.37,24.82,57.17
"70092","703508",БАЋЕВАЦ,BAĆEVAC,БАРАЈЕВО,BARAJEVO,84.09,100.00,316.43,444.52
"70335","706795",ЖЕРАВИНО,ŽERAVINO,БОСИЛЕГРАД,BOSILEGRAD,1.63,0.00,0.00,7.59
"70190","704636",ДРАЖЕВАЦ,DRAŽEVAC,ОБРЕНОВАЦ,OBRENOVAC,56.92,86.08,125.30,238.38
"71269","746355",МЕТЛИЋ,METLIĆ,ШАБАЦ,ŠABAC,44.24,22.95,57.42,117.96
"71188","743950",ПОТРЕБ,POTREB,ТУТИН,TUTIN,32.60,15.91,7.31,24.95
"70874","730513",ЛОПУЖЊЕ,LOPUŽNJE,НОВИ ПАЗАР,NOVI PAZAR,10.89,0.00,2.84,23.44
"70726","724467",КАШТАВАР,KAŠTAVAR,ЛЕСКОВАЦ,LESKOVAC,0.00,0.00,0.00,11.31
"70874","730173",ВУЧИНИЋЕ,VUČINIĆE,НОВИ ПАЗАР,NOVI PAZAR,0.66,0.00,0.29,35.87
"70688","721824",ГОРЊЕ ТОЧАНЕ,GORNJE TOČANE,КУРШУМЛИЈА,KURŠUMLIJA,0.00,0.00,0.00,3.70
"70360","708488",ГОРЊА БУКОВИЦА,GORNJA BUKOVICA,ВАЉЕВО,VALJEVO,27.81,3.78,30.99,93.17
"70521","714879",ЖАБАРИ,ŽABARI,ЖАБАРИ,ŽABARI,39.78,21.40,88.70,113.87
"70700","723053",МАРКОВА ЦРКВА,MARKOVA CRKVA,ЛАЈКОВАЦ,LAJKOVAC,99.11,98.41,37.24,44.94
"70998","736210",ПРОКУПЉЕ,PROKUPLJE,ПРОКУПЉЕ,PROKUPLJE,96.42,91.60,1427.69,1466.94
"70343","707554",СУДИМЉА,SUDIMLJA,БРУС,BRUS,0.00,0.00,0.00,10.67
"70874","730874",РАСТ,RAST,НОВИ ПАЗАР,NOVI PAZAR,54.35,0.00,3.23,5.82
"70262","705306",ДОЊА ДРАГУША,DONJA DRAGUŠA,БЛАЦЕ,BLACE,0.00,0.00,0.00,6.23
"70050","702323",РАДОШЕВАЦ,RADOŠEVAC,БАБУШНИЦА,BABUŠNICA,0.00,0.00,0.00,9.37
"70297","705985",КОСАНЧИЋ,KOSANČIĆ,БОЈНИК,BOJNIK,28.15,6.32,6.45,22.22
"70548","715344",ЗЛАДОВАЦ,ZLADOVAC,ЖИТОРАЂА,ŽITORAĐA,50.78,3.02,9.19,15.09
"70874","730009",БАЈЕВИЦА,BAJEVICA,НОВИ ПАЗАР,NOVI PAZAR,40.78,36.26,22.99,46.70
"70360","708267",БАБИНА ЛУКА,BABINA LUKA,ВАЉЕВО,VALJEVO,35.60,10.24,24.21,66.79
"80071","800503",ГОРЊА РОГАТИЦА,GORNJA ROGATICA,БАЧКА ТОПОЛА,BAČKA TOPOLA,25.22,10.91,9.83,24.01
"80071","800465",БАЈША,BAJŠA,БАЧКА ТОПОЛА,BAČKA TOPOLA,12.63,7.52,51.51,139.35
"80071","800589",МИЋУНОВО,MIĆUNOVO,БАЧКА ТОПОЛА,BAČKA TOPOLA,100.00,100.00,4.62,8.75
"71021","737151",КАРАДАК,KARADAK,РАШКА,RAŠKA,9.03,5.07,0.73,8.13
"71315","729078",ГОРЊИ КОМРЕН,GORNJI KOMREN,ЦРВЕНИ КРСТ,CRVENI KRST,64.37,92.47,50.98,84.09
"71315","729272",ЛЕСКОВИК,LESKOVIK,ЦРВЕНИ КРСТ,CRVENI KRST,20.29,8.88,8.16,31.16
"70602","717207",БАЛТА БЕРИЛОВАЦ,BALTA BERILOVAC,КЊАЖЕВАЦ,KNJAŽEVAC,37.88,10.48,16.09,33.78
"70564","716081",ГРАДАЦ,GRADAC,ИВАЊИЦА,IVANJICA,0.00,0.00,0.00,15.01
"70343","707031",БОТУЊА,BOTUNJA,БРУС,BRUS,40.08,30.26,11.99,40.34
"70939","732257",ГОСТУША,GOSTUŠA,ПИРОТ,PIROT,2.73,0.00,2.23,68.48
"70980","734942",МИЉЕВИЋИ,MILJEVIĆI,ПРИЈЕПОЉЕ,PRIJEPOLJE,7.28,6.52,5.31,28.94
"70874","730572",МУХОВО,MUHOVO,НОВИ ПАЗАР,NOVI PAZAR,0.77,0.22,1.91,42.80
"71323","792055",НИШ (ПАЛИЛУЛА),NIŠ (PALILULA),ПАЛИЛУЛА (НИШ),PALILULA (NIŠ),100.00,100.00,2400.19,2499.47
"70564","716065",ВУЧАК,VUČAK,ИВАЊИЦА,IVANJICA,0.00,0.00,0.00,45.40
"70025","700894",ДАШНИЦА,DAŠNICA,АЛЕКСИНАЦ,ALEKSINAC,26.54,6.39,5.86,24.46
"70670","720879",ГРКЉАНЕ,GRKLJANE,КРУШЕВАЦ,KRUŠEVAC,14.95,7.69,24.50,61.73
