MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,P_LA_15,P_LA_15-19,SOL_15,SOL_15-19
"71188","743399",ГЛУХАВИЦА,GLUHAVICA,ТУТИН,TUTIN,24.53,20.20,2.84,18.62
"71030","737631",ДРАГОВО,DRAGOVO,РЕКОВАЦ,REKOVAC,39.30,22.78,59.01,111.01
"71145","741795",ПОНИКОВИЦА,PONIKOVICA,УЖИЦЕ,UŽICE,62.35,65.57,50.11,86.21
"71242","745880",ПАРМЕНАЦ,PARMENAC,ЧАЧАК,ČAČAK,28.58,67.13,5.22,23.61
"70840","728616",МАЛА КАМЕНИЦА,MALA KAMENICA,НЕГОТИН,NEGOTIN,24.30,18.27,33.37,94.18
"70661","720453",КРУПАЊ,KRUPANJ,КРУПАЊ,KRUPANJ,100.00,91.43,136.20,120.70
"70360","708666",ЈОШЕВА,JOŠEVA,ВАЉЕВО,VALJEVO,0.00,0.00,0.00,17.46
"70084","703192",КЛЕЊЕ,KLENJE,БЕЛА ПАЛАНКА,BELA PALANKA,9.86,0.00,1.16,12.28
"70998","736171",ПОТОЧИЋ,POTOČIĆ,ПРОКУПЉЕ,PROKUPLJE,38.10,15.73,10.06,24.92
"80128","801054",ВЛАЈКОВАЦ,VLAJKOVAC,ВРШАЦ,VRŠAC,16.13,8.21,70.25,191.50
"80039","800104",ДОБРИЦА,DOBRICA,АЛИБУНАР,ALIBUNAR,15.42,7.13,120.75,183.31
"70289","705721",МЕТКОВИЋ,METKOVIĆ,БОГАТИЋ,BOGATIĆ,53.45,33.50,108.41,166.97
"80403","804304",ЧАЛМА,ČALMA,СРЕМСКА МИТРОВИЦА,SREMSKA MITROVICA,15.71,7.81,57.45,147.60
"80179","801798",НОВИ КАРЛОВЦИ,NOVI KARLOVCI,ИНЂИЈА,INĐIJA,32.20,47.22,605.11,920.80
"80055","800236",БАЧ,BAČ,БАЧ,BAČ,19.82,15.89,465.25,709.92
"80489","804860",ОСТОЈИЋЕВО,OSTOJIĆEVO,ЧОКА,ČOKA,16.56,9.23,129.98,260.85
"80462","805114",КОСАНЧИЋ,KOSANČIĆ,ВРБАС,VRBAS,11.28,1.23,10.63,64.09
"80438","804541",КЕЛЕБИЈА,KELEBIJA,СУБОТИЦА,SUBOTICA,37.92,36.43,470.86,628.60
"80438","804614",СУБОТИЦА,SUBOTICA,СУБОТИЦА,SUBOTICA,63.76,70.13,7927.66,8038.48
"70645","718777",ДИВОСТИН,DIVOSTIN,КРАГУЈЕВАЦ,KRAGUJEVAC,82.83,99.92,78.07,112.27
"70815","727709",СТУБЛА,STUBLA,МЕДВЕЂА,MEDVEĐA,0.00,0.00,0.00,26.73
"71226","745014",ДОБРО ПОЉЕ,DOBRO POLJE,ЦРНА ТРАВА,CRNA TRAVA,0.00,0.00,0.00,17.50
"70718","723576",ШИЛОВО,ŠILOVO,ЛЕБАНЕ,LEBANE,23.34,1.10,11.16,31.73
"70467","712612",ДОЊИ БАРБЕШ,DONJI BARBEŠ,ГАЏИН ХАН,GADŽIN HAN,43.43,5.14,9.69,19.03
"70998","735485",ВИДОВАЧА,VIDOVAČA,ПРОКУПЉЕ,PROKUPLJE,3.90,0.00,0.59,14.47
"70467","712841",ЧАГРОВАЦ,ČAGROVAC,ГАЏИН ХАН,GADŽIN HAN,26.94,0.00,6.49,20.53
"70343","707104",ВИТОШЕ,VITOŠE,БРУС,BRUS,0.31,0.00,0.00,13.28
"71072","739740",КРАЈИНОВИЋЕ,KRAJINOVIĆE,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,22.27
"71072","739944",РАСНО,RASNO,СЈЕНИЦА,SJENICA,16.44,0.00,7.39,31.67
"71200","744344",БИГРЕНИЦА,BIGRENICA,ЋУПРИЈА,ĆUPRIJA,27.43,13.09,68.95,176.68
"70955","733539",РУПЕЉЕВО,RUPELJEVO,ПОЖЕГА,POŽEGA,31.32,19.65,24.88,59.70
"70718","723380",МАЛО ВОЈЛОВЦЕ,MALO VOJLOVCE,ЛЕБАНЕ,LEBANE,46.39,30.20,6.27,13.38
"70971","734071",ЗАБРЂЕ,ZABRĐE,ПРИБОЈ,PRIBOJ,0.00,0.00,0.00,34.05
"70424","710920",КОЗИЛО,KOZILO,ВЛАСОТИНЦЕ,VLASOTINCE,0.00,0.00,0.00,7.58
"70815","727342",ГОРЊИ БУЧУМЕТ,GORNJI BUČUMET,МЕДВЕЂА,MEDVEĐA,0.00,0.00,0.00,10.20
"70777","726753",ЦРНЧА,CRNČA,ЉУБОВИЈА,LJUBOVIJA,9.31,0.00,5.40,48.63
"71269","746495",ПРЊАВОР,PRNJAVOR,ШАБАЦ,ŠABAC,46.76,23.74,175.08,243.62
"71072","740187",ЦРВСКО,CRVSKO,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,54.73
"80462","804762",ЗМАЈЕВО,ZMAJEVO,ВРБАС,VRBAS,24.96,18.50,194.22,359.93
"80195","802093",ТРЕШЊЕВАЦ,TREŠNJEVAC,КАЊИЖА,KANJIŽA,28.43,17.33,82.06,150.81
"80217","802298",УЗДИН,UZDIN,КОВАЧИЦА,KOVAČICA,17.50,11.97,143.77,362.15
"80519","802867",СРЕМСКА КАМЕНИЦА,SREMSKA KAMENICA,НОВИ САД,NOVI SAD,75.42,71.99,1382.72,1458.86
"80284","802778",ВЕТЕРНИК,VETERNIK,НОВИ САД,NOVI SAD,98.90,100.00,2015.57,2167.43
"80373","803723",БАНАТСКА ДУБИЦА,BANATSKA DUBICA,СЕЧАЊ,SEČANJ,13.84,4.64,15.15,69.18
"80349","803359",ВЕЛИКА ГРЕДА,VELIKA GREDA,ПЛАНДИШТЕ,PLANDIŠTE,26.85,14.96,89.39,155.37
"80454","804738",ТИТЕЛ,TITEL,ТИТЕЛ,TITEL,18.24,13.26,301.06,469.68
"80128","801186",МАРКОВАЦ,MARKOVAC,ВРШАЦ,VRŠAC,12.50,5.98,18.83,82.58
"70572","716634",ЉУБИЧЕВАЦ,LJUBIČEVAC,КЛАДОВО,KLADOVO,29.22,13.29,82.09,93.49
"70572","716537",ВЕЛЕСНИЦА,VELESNICA,КЛАДОВО,KLADOVO,23.64,11.73,27.22,56.14
"70971","734306",СТРМАЦ,STRMAC,ПРИБОЈ,PRIBOJ,0.00,0.00,0.00,40.53
"70815","727652",СИЈАРИНСКА БАЊА,SIJARINSKA BANJA,МЕДВЕЂА,MEDVEĐA,96.06,77.42,22.93,38.82
"80276","802638",БАНАТСКО АРАНЂЕЛОВО,BANATSKO ARANĐELOVO,НОВИ КНЕЖЕВАЦ,NOVI KNEŽEVAC,15.06,9.38,99.66,271.16
"70017","700037",БЗЕНИЦЕ,BZENICE,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,20.57,6.62,27.33,62.07
"70564","716227",КОМАДИНЕ,KOMADINE,ИВАЊИЦА,IVANJICA,5.88,0.00,1.64,21.91
"70505","714542",ПОГАНОВО,POGANOVO,ДИМИТРОВГРАД,DIMITROVGRAD,0.00,0.00,0.00,31.75
"71188","743704",ЈЕЛИЋЕ,JELIĆE,ТУТИН,TUTIN,35.07,23.54,4.35,18.84
"71188","744123",ТУТИН,TUTIN,ТУТИН,TUTIN,100.00,100.00,390.18,356.89
"70262","705292",ГОРЊЕ СВАРЧЕ,GORNJE SVARČE,БЛАЦЕ,BLACE,0.12,0.00,0.00,6.44
"71021","737135",ЈОШАНИЧКА БАЊА,JOŠANIČKA BANJA,РАШКА,RAŠKA,17.26,9.26,47.92,126.60
"71315","729337",МЕЗГРАЈА,MEZGRAJA,ЦРВЕНИ КРСТ,CRVENI KRST,67.97,57.74,33.89,48.72
"70726","723711",БРАТМИЛОВЦЕ,BRATMILOVCE,ЛЕСКОВАЦ,LESKOVAC,99.94,100.00,107.33,142.97
"71188","743321",БУЈКОВИЋЕ,BUJKOVIĆE,ТУТИН,TUTIN,15.82,0.00,1.75,9.00
"71188","743763",ЛИПИЦА,LIPICA,ТУТИН,TUTIN,0.00,0.00,0.00,14.54
"70424","710695",БОРИН ДО,BORIN DO,ВЛАСОТИНЦЕ,VLASOTINCE,4.54,0.00,0.68,13.69
"70424","710865",ДОЊИ ДЕЈАН,DONJI DEJAN,ВЛАСОТИНЦЕ,VLASOTINCE,9.69,0.00,3.33,24.70
"70980","735205",ЦРКВЕНИ ТОЦИ,CRKVENI TOCI,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,0.00,0.00,17.82
"71064","739057",ПОПШИЦА,POPŠICA,СВРЉИГ,SVRLJIG,29.13,0.00,8.99,23.77
"70670","720852",ГРЕВЦИ,GREVCI,КРУШЕВАЦ,KRUŠEVAC,62.23,5.37,14.05,18.97
"70866","729981",ШТИТКОВО,ŠTITKOVO,НОВА ВАРОШ,NOVA VAROŠ,11.31,0.00,4.08,25.01
"70670","720917",ДОЉАНЕ,DOLJANE,КРУШЕВАЦ,KRUŠEVAC,76.15,22.05,20.37,26.14
"70025","701033",КАТУН,KATUN,АЛЕКСИНАЦ,ALEKSINAC,56.61,33.85,28.51,65.34
"70602","717231",БЕРЧИНОВАЦ,BERČINOVAC,КЊАЖЕВАЦ,KNJAŽEVAC,35.59,31.07,32.10,56.73
"70980","734705",ИЗБИЧАЊ,IZBIČANJ,ПРИЈЕПОЉЕ,PRIJEPOLJE,10.22,0.00,1.58,11.11
"70602","717622",КАЛНА,KALNA,КЊАЖЕВАЦ,KNJAŽEVAC,52.25,24.07,51.03,66.26
"70742","726044",ЛУЧАНИ (ВАРОШИЦА),LUČANI (VAROŠICA),ЛУЧАНИ,LUČANI,36.30,36.73,144.44,194.34
"71242","745731",КУЛИНОВЦИ,KULINOVCI,ЧАЧАК,ČAČAK,100.00,100.00,39.66,47.91
"70670","721441",РЛИЦА,RLICA,КРУШЕВАЦ,KRUŠEVAC,10.83,0.00,3.24,21.90
"71242","745448",БАЛУГА (ТРНАВСКА),BALUGA (TRNAVSKA),ЧАЧАК,ČAČAK,23.60,100.00,15.87,60.32
"70904","731374",ДАВИДОВАЦ,DAVIDOVAC,ПАРАЋИН,PARAĆIN,50.08,60.92,21.58,49.27
"70645","719153",ПРЕКОПЕЧА,PREKOPEČA,КРАГУЈЕВАЦ,KRAGUJEVAC,22.05,11.74,2.25,12.38
"70483","713210",БРУСНИЦА,BRUSNICA,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,52.99,42.99,91.08,142.41
"70505","714615",СЛИВНИЦА,SLIVNICA,ДИМИТРОВГРАД,DIMITROVGRAD,0.00,0.00,0.00,6.54
"70815","727369",ГОРЊИ ГАЈТАН,GORNJI GAJTAN,МЕДВЕЂА,MEDVEĐA,0.08,0.00,0.00,35.36
"70050","702099",ДУЧЕВАЦ,DUČEVAC,БАБУШНИЦА,BABUŠNICA,0.00,0.00,0.00,9.75
"70939","732796",ЦЕРЕВ ДЕЛ,CEREV DEL,ПИРОТ,PIROT,0.00,0.00,0.00,19.13
"70505","714429",ЖЕЉУША,ŽELJUŠA,ДИМИТРОВГРАД,DIMITROVGRAD,66.41,52.99,100.90,162.12
"70050","702170",КИЈЕВАЦ,KIJEVAC,БАБУШНИЦА,BABUŠNICA,0.00,0.00,0.00,10.70
"70424","710822",ДОЊА ЛОМНИЦА,DONJA LOMNICA,ВЛАСОТИНЦЕ,VLASOTINCE,62.43,32.64,10.80,17.10
"70874","730319",ДРАГОЧЕВО,DRAGOČEVO,НОВИ ПАЗАР,NOVI PAZAR,7.07,0.00,1.63,21.73
"70297","706124",САВИНАЦ,SAVINAC,БОЈНИК,BOJNIK,0.00,0.00,0.00,5.51
"71188","744093",СТРУМЦЕ,STRUMCE,ТУТИН,TUTIN,16.96,0.00,2.01,11.08
"71170","742732",ГОРЊА ЦРНИШАВА,GORNJA CRNIŠAVA,ТРСТЕНИК,TRSTENIK,24.28,2.41,11.79,36.25
"70670","721387",ПЕПЕЉЕВАЦ,PEPELJEVAC,КРУШЕВАЦ,KRUŠEVAC,86.64,72.49,100.69,106.86
"70025","701289",СРЕЗОВАЦ,SREZOVAC,АЛЕКСИНАЦ,ALEKSINAC,28.27,17.77,7.01,24.16
"70025","700614",АЛЕКСИНАЦ,ALEKSINAC,АЛЕКСИНАЦ,ALEKSINAC,64.16,59.60,779.85,943.68
"70564","716448",СИВЧИНА,SIVČINA,ИВАЊИЦА,IVANJICA,4.25,0.86,2.50,40.11
"70050","702315",РАДОСИН,RADOSIN,БАБУШНИЦА,BABUŠNICA,0.00,0.00,0.00,15.69
"70726","725188",ШИШИНЦЕ,ŠIŠINCE,ЛЕСКОВАЦ,LESKOVAC,67.55,47.21,28.90,50.63
"80179","801763",КРЧЕДИН,KRČEDIN,ИНЂИЈА,INĐIJA,33.61,29.30,192.05,473.74
"80462","804754",БАЧКО ДОБРО ПОЉЕ,BAČKO DOBRO POLJE,ВРБАС,VRBAS,21.90,16.95,153.16,247.91
"80306","803014",ОЏАЦИ,ODŽACI,ОЏАЦИ,ODŽACI,35.25,33.21,579.60,741.68
"80306","803006",ЛАЛИЋ,LALIĆ,ОЏАЦИ,ODŽACI,21.49,14.02,86.44,173.96
"80390","804037",НАДАЉ,NADALJ,СРБОБРАН,SRBOBRAN,28.56,17.02,217.18,283.03
"71072","739448",ГРГАЈЕ,GRGAJE,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,9.63
"70670","721255",МАЛИ ШИЉЕГОВАЦ,MALI ŠILJEGOVAC,КРУШЕВАЦ,KRUŠEVAC,40.52,22.51,32.94,71.54
"70025","701351",ЋИЋИНА,ĆIĆINA,АЛЕКСИНАЦ,ALEKSINAC,26.03,40.36,3.10,18.56
"70971","734209",МИЛИЈЕШ,MILIJEŠ,ПРИБОЈ,PRIBOJ,25.46,13.07,28.46,58.38
"70602","718068",ШТИТАРАЦ,ŠTITARAC,КЊАЖЕВАЦ,KNJAŽEVAC,45.88,17.03,10.05,22.87
"70017","700266",ДОЊИ СТУПАЊ,DONJI STUPANJ,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,65.60,39.31,41.94,65.81
"80438","804550",ЉУТОВО,LJUTOVO,СУБОТИЦА,SUBOTICA,32.78,28.62,112.07,192.94
"80276","802662",МАЈДАН,MAJDAN,НОВИ КНЕЖЕВАЦ,NOVI KNEŽEVAC,28.49,17.78,95.94,135.73
"70874","730149",ВОЈКОВИЋЕ,VOJKOVIĆE,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,0.00,24.74
"70050","702374",СТОЛ,STOL,БАБУШНИЦА,BABUŠNICA,0.00,0.00,0.00,13.65
"70874","730424",КАШАЉ,KAŠALJ,НОВИ ПАЗАР,NOVI PAZAR,0.39,0.00,0.00,14.04
"70050","702021",ГОРЧИНЦЕ,GORČINCE,БАБУШНИЦА,BABUŠNICA,9.67,2.58,3.46,18.43
"71170","743194",ЧАИРИ,ČAIRI,ТРСТЕНИК,TRSTENIK,44.57,38.08,50.62,62.67
"70670","720909",ДОБРОМИР,DOBROMIR,КРУШЕВАЦ,KRUŠEVAC,33.09,26.30,16.25,28.98
"70602","717258",БУЛИНОВАЦ,BULINOVAC,КЊАЖЕВАЦ,KNJAŽEVAC,46.28,21.28,9.06,21.18
"70777","726656",ПОСТЕЊЕ,POSTENJE,ЉУБОВИЈА,LJUBOVIJA,0.43,0.00,0.00,27.91
"70726","724530",КУТЛЕШ,KUTLEŠ,ЛЕСКОВАЦ,LESKOVAC,53.16,32.99,17.91,32.14
"70874","730343",ЗАБРЂЕ,ZABRĐE,НОВИ ПАЗАР,NOVI PAZAR,24.77,19.30,10.68,33.10
"70602","717673",КРЕНТА,KRENTA,КЊАЖЕВАЦ,KNJAŽEVAC,19.57,9.20,5.68,30.54
"70645","718734",ГОРЊЕ КОМАРИЦЕ,GORNJE KOMARICE,КРАГУЈЕВАЦ,KRAGUJEVAC,58.02,51.87,81.11,129.94
"71048","738026",ГОРЊИ РАЧНИК,GORNJI RAČNIK,ЈАГОДИНА,JAGODINA,27.09,11.08,8.35,34.85
"70688","721921",ДОЊЕ ТОЧАНЕ,DONJE TOČANE,КУРШУМЛИЈА,KURŠUMLIJA,3.89,0.00,0.96,23.26
"70874","730807",ПУСТОВЛАХ,PUSTOVLAH,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,0.00,9.01
"70548","715395",ЛУКОМИР,LUKOMIR,ЖИТОРАЂА,ŽITORAĐA,45.18,17.08,21.57,35.04
"70998","735566",ГОРЊА КОЊУША,GORNJA KONJUŠA,ПРОКУПЉЕ,PROKUPLJE,0.00,0.00,0.00,9.31
"71242","745642",ЗАБЛАЋЕ,ZABLAĆE,ЧАЧАК,ČAČAK,37.16,44.08,33.27,75.62
"70742","726036",ЛИСИЦЕ,LISICE,ЛУЧАНИ,LUČANI,36.00,44.06,36.35,73.65
"71030","737658",КАВАДАР,KAVADAR,РЕКОВАЦ,REKOVAC,39.80,23.06,24.97,53.91
"71048","738123",ИВКОВАЧКИ ПРЊАВОР,IVKOVAČKI PRNJAVOR,ЈАГОДИНА,JAGODINA,33.15,0.00,3.83,14.06
"70904","731382",ДОЊА МУТНИЦА,DONJA MUTNICA,ПАРАЋИН,PARAĆIN,52.32,29.32,61.29,115.19
"70688","722308",НЕВАДА,NEVADA,КУРШУМЛИЈА,KURŠUMLIJA,45.26,0.00,2.80,6.07
"70874","730211",ГОШЕВО,GOŠEVO,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,0.00,5.09
"70548","715212",ВОЉЧИНЦЕ,VOLJČINCE,ЖИТОРАЂА,ŽITORAĐA,53.03,20.98,29.40,44.86
"70483","713287",ГОРЊА ВРБАВА,GORNJA VRBAVA,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,21.79,8.10,10.68,36.72
"70688","722081",КРЧМАРЕ,KRČMARE,КУРШУМЛИЈА,KURŠUMLIJA,28.62,19.66,27.88,62.50
"71072","739634",ЈЕЗЕРО,JEZERO,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,3.43
"70017","700258",ДОЊИ ВРАТАРИ,DONJI VRATARI,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,10.59,1.26,1.64,15.19
"70017","700096",ВЕНЧАЦ,VENČAC,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,99.96,99.88,44.93,56.53
"70726","724980",СЛАВУЈЕВЦЕ,SLAVUJEVCE,ЛЕСКОВАЦ,LESKOVAC,44.86,0.00,7.31,17.89
"70998","735850",ЈАБУЧЕВО,JABUČEVO,ПРОКУПЉЕ,PROKUPLJE,0.60,0.00,0.00,10.96
"70874","730157",ВОЈНИЋЕ,VOJNIĆE,НОВИ ПАЗАР,NOVI PAZAR,81.65,80.94,17.06,32.98
"70688","722243",МАЧКОВАЦ,MAČKOVAC,КУРШУМЛИЈА,KURŠUMLIJA,70.78,44.09,18.79,35.74
"70726","723738",БРЕСТОВАЦ,BRESTOVAC,ЛЕСКОВАЦ,LESKOVAC,89.44,72.92,155.65,188.46
"70874","730416",ЈОВА,JOVA,НОВИ ПАЗАР,NOVI PAZAR,0.00,0.00,0.00,23.02
"70416","710440",МАНАЈЛЕ,MANAJLE,ВЛАДИЧИН ХАН,VLADIČIN HAN,69.03,15.94,11.86,14.10
"71137","741442",ТРОСКАЧ,TROSKAČ,СУРДУЛИЦА,SURDULICA,0.00,0.00,0.00,16.16
"80144","801402",МЕЂА,MEĐA,ЖИТИШТЕ,ŽITIŠTE,19.78,11.87,72.86,154.67
"80306","803049",СРПСКИ МИЛЕТИЋ,SRPSKI MILETIĆ,ОЏАЦИ,ODŽACI,25.49,17.63,115.58,211.78
"80144","801470",ЧЕСТЕРЕГ,ČESTEREG,ЖИТИШТЕ,ŽITIŠTE,24.13,17.49,74.65,132.82
"71170","743178",ТРСТЕНИК,TRSTENIK,ТРСТЕНИК,TRSTENIK,100.00,99.42,748.77,638.09
"70688","721735",БОГУЈЕВАЦ,BOGUJEVAC,КУРШУМЛИЈА,KURŠUMLIJA,19.27,0.00,1.65,8.64
"70874","730114",ВИДОВО,VIDOVO,НОВИ ПАЗАР,NOVI PAZAR,82.95,67.96,19.14,29.19
"70467","712523",ГАРЕ,GARE,ГАЏИН ХАН,GADŽIN HAN,0.78,0.00,0.00,18.06
"70548","715271",ДЕБЕЛИ ЛУГ,DEBELI LUG,ЖИТОРАЂА,ŽITORAĐA,6.14,0.00,0.00,3.13
"70688","722294",МРЧА,MRČA,КУРШУМЛИЈА,KURŠUMLIJA,27.40,5.54,7.64,30.76
"70467","712850",ШЕБЕТ,ŠEBET,ГАЏИН ХАН,GADŽIN HAN,9.53,0.00,2.55,19.28
"70467","712825",ТОПОНИЦА,TOPONICA,ГАЏИН ХАН,GADŽIN HAN,38.60,14.94,14.91,36.88
"70548","715484",СТУДЕНАЦ,STUDENAC,ЖИТОРАЂА,ŽITORAĐA,3.87,0.00,0.51,9.87
"70874","730840",РАЈЧИНОВИЋЕ,RAJČINOVIĆE,НОВИ ПАЗАР,NOVI PAZAR,91.31,71.38,65.60,86.76
"71030","737542",БАРЕ,BARE,РЕКОВАЦ,REKOVAC,64.88,0.00,2.68,5.15
"70904","731340",ГОЛУБОВАЦ,GOLUBOVAC,ПАРАЋИН,PARAĆIN,37.69,14.40,7.93,21.02
"70955","733601",УЗИЋИ,UZIĆI,ПОЖЕГА,POŽEGA,54.29,60.92,41.95,64.15
"70319","706345",МИРОВО,MIROVO,БОЉЕВАЦ,BOLJEVAC,12.74,0.00,7.37,52.12
"71072","739413",ГОШЕВО,GOŠEVO,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,18.15
"70726","723606",БАБИЧКО,BABIČKO,ЛЕСКОВАЦ,LESKOVAC,0.24,0.00,0.00,38.48
"70467","712752",НОВО СЕЛО,NOVO SELO,ГАЏИН ХАН,GADŽIN HAN,8.32,0.00,1.01,8.79
"71072","739898",ПЛАНА,PLANA,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,6.13
"70416","710326",КОЗНИЦА,KOZNICA,ВЛАДИЧИН ХАН,VLADIČIN HAN,0.00,0.00,0.00,12.62
"80357","803529",ГРАБОВЦИ,GRABOVCI,РУМА,RUMA,12.28,7.68,54.43,266.28
"71269","746304",МАЈУР,MAJUR,ШАБАЦ,ŠABAC,86.19,86.54,581.44,656.45
"70688","722219",МАРКОВИЋЕ,MARKOVIĆE,КУРШУМЛИЈА,KURŠUMLIJA,77.09,54.84,9.39,16.00
"71242","745740",ЛИПНИЦА,LIPNICA,ЧАЧАК,ČAČAK,26.73,38.43,12.29,50.99
"71242","745677",ЈЕЖЕВИЦА,JEŽEVICA,ЧАЧАК,ČAČAK,33.80,39.22,43.53,99.15
"80101","800937",ЛУГ,LUG,БЕОЧИН,BEOČIN,31.78,16.73,17.47,40.63
"80519","802760",БУКОВАЦ,BUKOVAC,НОВИ САД,NOVI SAD,48.97,66.40,172.76,228.53
"80349","803332",БАРИЦЕ,BARICE,ПЛАНДИШТЕ,PLANDIŠTE,19.26,10.47,73.91,122.80
"80152","801585",КНИЋАНИН,KNIĆANIN,ЗРЕЊАНИН,ZRENJANIN,13.63,11.05,133.01,272.40
"70360","708275",БАЛИНОВИЋ,BALINOVIĆ,ВАЉЕВО,VALJEVO,4.78,0.00,0.38,9.19
"70645","719285",ЧУМИЋ,ČUMIĆ,КРАГУЈЕВАЦ,KRAGUJEVAC,70.07,50.54,199.35,312.50
"71170","742805",ДОЊИ ДУБИЧ,DONJI DUBIČ,ТРСТЕНИК,TRSTENIK,27.51,0.00,5.76,13.55
"70653","719978",ПЕКЧАНИЦА,PEKČANICA,КРАЉЕВО,KRALJEVO,22.20,13.36,9.41,37.52
"70688","722391",ПЉАКОВО,PLJAKOVO,КУРШУМЛИЈА,KURŠUMLIJA,61.32,8.76,8.05,15.10
"70955","733245",ГОРОБИЉЕ,GOROBILJE,ПОЖЕГА,POŽEGA,48.81,66.46,98.40,173.92
"70416","710342",КОСТОМЛАТИЦА,KOSTOMLATICA,ВЛАДИЧИН ХАН,VLADIČIN HAN,0.00,0.00,0.00,10.35
"70688","722006",ЗЕБИЦА,ZEBICA,КУРШУМЛИЈА,KURŠUMLIJA,0.00,0.00,0.00,14.23
"70050","702404",СТУДЕНА,STUDENA,БАБУШНИЦА,BABUŠNICA,3.03,0.00,1.00,26.83
"71188","743984",РАДУША,RADUŠA,ТУТИН,TUTIN,2.58,0.34,0.37,11.49
"70483","713163",БОЉКОВЦИ,BOLJKOVCI,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,13.38,6.69,8.30,57.96
"70548","715336",ЖИТОРАЂА,ŽITORAĐA,ЖИТОРАЂА,ŽITORAĐA,41.15,23.72,109.90,133.83
"70670","721395",ПЕТИНА,PETINA,КРУШЕВАЦ,KRUŠEVAC,15.51,9.63,24.10,57.25
"70670","720968",ЗЕБИЦА,ZEBICA,КРУШЕВАЦ,KRUŠEVAC,60.29,0.00,8.46,12.33
"70670","721468",СЕБЕЧЕВАЦ,SEBEČEVAC,КРУШЕВАЦ,KRUŠEVAC,55.55,20.79,21.60,36.16
"70793","727032",ЦУЛИНЕ,CULINE,МАЛИ ЗВОРНИК,MALI ZVORNIK,0.09,0.00,0.00,14.58
"70432","711683",КРУШЕВА ГЛАВА,KRUŠEVA GLAVA,ВРАЊЕ,VRANJE,0.00,0.00,0.00,9.81
"80233","802468",РУСКИ КРСТУР,RUSKI KRSTUR,КУЛА,KULA,21.96,14.45,414.09,468.58
"80306","802956",БАЧКИ ГРАЧАЦ,BAČKI GRAČAC,ОЏАЦИ,ODŽACI,19.33,13.52,112.79,201.33
"70823","727768",АЛЕКСАНДРОВО,ALEKSANDROVO,МЕРОШИНА,MEROŠINA,99.69,99.69,21.28,23.14
"70939","732532",ПАКЛЕШТИЦА,PAKLEŠTICA,ПИРОТ,PIROT,5.46,0.00,2.59,41.84
"70998","735752",ДОЊЕ КОРДИНЦЕ,DONJE KORDINCE,ПРОКУПЉЕ,PROKUPLJE,32.15,0.00,1.88,7.12
"70998","736040",МРШЕЉ,MRŠELJ,ПРОКУПЉЕ,PROKUPLJE,59.90,5.23,5.01,10.06
"70084","703273",ЛЕСКОВИК,LESKOVIK,БЕЛА ПАЛАНКА,BELA PALANKA,55.71,21.62,1.98,3.82
"70874","730700",ПИЛАРЕТА,PILARETA,НОВИ ПАЗАР,NOVI PAZAR,4.33,0.00,0.00,5.15
"70513","714798",ЧЕЧИНА,ČEČINA,ДОЉЕВАЦ,DOLJEVAC,56.66,38.72,60.31,92.30
"70777","726630",ОРОВИЧКА ПЛАНИНА,OROVIČKA PLANINA,ЉУБОВИЈА,LJUBOVIJA,0.00,0.00,0.00,17.39
"70360","708313",БЕОМУЖЕВИЋ,BEOMUŽEVIĆ,ВАЉЕВО,VALJEVO,48.47,10.84,23.98,44.26
"71153","742201",РАЈКОВАЦ,RAJKOVAC,ТОПОЛА,TOPOLA,26.22,0.00,5.26,22.49
"70114","791024",БЕОГРАД (ВРАЧАР),BEOGRAD (VRAČAR),ВРАЧАР,VRAČAR,100.00,100.00,2127.58,1997.56
"80110","801020",РАДИЧЕВИЋ,RADIČEVIĆ,БЕЧЕЈ,BEČEJ,18.44,9.63,33.99,73.82
"70947","732885",БЕРАЊЕ,BERANJE,ПОЖАРЕВАЦ,POŽAREVAC,71.36,73.60,74.13,96.79
"70190","704849",УРОВЦИ,UROVCI,ОБРЕНОВАЦ,OBRENOVAC,98.48,97.46,481.52,526.32
"71099","740373",ЛИПЕ,LIPE,СМЕДЕРЕВО,SMEDEREVO,46.97,72.13,284.54,453.20
"70726","724238",ДОЊЕ ТРЊАНЕ,DONJE TRNJANE,ЛЕСКОВАЦ,LESKOVAC,100.00,99.35,23.24,33.26
