MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,P_1,P_2,P_3,P_4,P_5,P_6,Mean_ELEV
"70017","700193",ГОРЊИ СТУПАЊ,GORNJI STUPANJ,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.00,100.00,0.00,0.00,0.00,0.00,276.59
"70025","701319",СТУБЛИНА,STUBLINA,АЛЕКСИНАЦ,ALEKSINAC,27.88,72.12,0.00,0.00,0.00,0.00,245.42
"70017","700029",АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,0.00,100.00,0.00,0.00,0.00,0.00,395.14
"70980","734462",ВРБОВО,VRBOVO,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,0.00,0.02,10.46,89.52,0.00,1144.32
"70866","729850",ЉЕПОЈЕВИЋИ,LJEPOJEVIĆI,НОВА ВАРОШ,NOVA VAROŠ,0.00,0.00,0.00,0.00,99.98,0.02,1273.61
"70955","733440",ПОЖЕГА,POŽEGA,ПОЖЕГА,POŽEGA,0.00,100.00,0.00,0.00,0.00,0.00,317.06
"70599","717037",ЛЕСКОВАЦ,LESKOVAC,КНИЋ,KNIĆ,0.00,71.51,28.49,0.00,0.00,0.00,405.33
"70742","726095",НЕГРИШОРИ,NEGRIŠORI,ЛУЧАНИ,LUČANI,0.00,79.11,20.89,0.00,0.00,0.00,449.98
"71161","742538",СУРЛИЦА,SURLICA,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.01,87.67,12.32,1289.23
"70262","705489",ПРЕБРЕЗА,PREBREZA,БЛАЦЕ,BLACE,0.00,51.70,48.30,0.00,0.00,0.00,513.71
"71315","729574",ТРУПАЛЕ,TRUPALE,ЦРВЕНИ КРСТ,CRVENI KRST,72.11,27.89,0.00,0.00,0.00,0.00,190.12
"70734","725285",ГОРЊА БОРИНА,GORNJA BORINA,ЛОЗНИЦА,LOZNICA,0.00,63.89,36.11,0.00,0.00,0.00,472.03
"70416","710369",КРЖИНЦЕ,KRŽINCE,ВЛАДИЧИН ХАН,VLADIČIN HAN,0.00,79.54,20.46,0.00,0.00,0.00,424.11
"70807","727113",ВРБНИЦА,VRBNICA,МАЛО ЦРНИЋЕ,MALO CRNIĆE,97.59,2.41,0.00,0.00,0.00,0.00,126.52
"70637","718467",ДОЊЕ ЦРНИЉЕВО,DONJE CRNILJEVO,КОЦЕЉЕВА,KOCELJEVA,17.06,82.94,0.00,0.00,0.00,0.00,244.29
"70726","724866",ПРЕДЕЈАНЕ (ВАРОШ),PREDEJANE (VAROŠ),ЛЕСКОВАЦ,LESKOVAC,0.00,100.00,0.00,0.00,0.00,0.00,297.47
"70505","714623",СМИЛОВЦИ,SMILOVCI,ДИМИТРОВГРАД,DIMITROVGRAD,0.00,0.00,69.19,14.20,16.61,0.00,818.21
"70548","715310",ДУБОВО,DUBOVO,ЖИТОРАЂА,ŽITORAĐA,0.00,98.49,1.51,0.00,0.00,0.00,330.48
"71072","739766",КРЊА ЈЕЛА,KRNJA JELA,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,0.00,100.00,0.00,1224.55
"70050","702005",ГОРЊЕ КРЊИНО,GORNJE KRNJINO,БАБУШНИЦА,BABUŠNICA,0.00,0.00,100.00,0.00,0.00,0.00,637.40
"70262","705373",ЂУРЕВАЦ,ĐUREVAC,БЛАЦЕ,BLACE,0.00,96.27,3.73,0.00,0.00,0.00,423.08
"70343","707597",ШОШИЋЕ,ŠOŠIĆE,БРУС,BRUS,0.00,0.00,4.07,40.57,55.36,0.00,1020.08
"70416","710270",ЈАГЊИЛО,JAGNJILO,ВЛАДИЧИН ХАН,VLADIČIN HAN,0.00,0.00,35.61,34.82,29.57,0.00,892.61
"70416","710172",ГАРИЊЕ,GARINJE,ВЛАДИЧИН ХАН,VLADIČIN HAN,0.00,46.35,51.66,2.00,0.00,0.00,520.81
"70050","702129",ЗВОНЦЕ,ZVONCE,БАБУШНИЦА,BABUŠNICA,0.00,0.00,44.03,46.98,8.99,0.00,832.22
"70424","711128",СТРАЊЕВО,STRANJEVO,ВЛАСОТИНЦЕ,VLASOTINCE,0.00,31.80,68.20,0.00,0.00,0.00,545.91
"71188","744131",ЋУЛИЈЕ,ĆULIJE,ТУТИН,TUTIN,0.00,0.00,10.08,20.15,69.77,0.00,1114.89
"70173","704300",АМЕРИЋ,AMERIĆ,МЛАДЕНОВАЦ,MLADENOVAC,40.07,59.93,0.00,0.00,0.00,0.00,219.90
"70726","723754",БРИЧЕВЉЕ,BRIČEVLJE,ЛЕСКОВАЦ,LESKOVAC,0.00,32.35,50.95,16.70,0.00,0.00,603.31
"70980","735167",СОПОТНИЦА,SOPOTNICA,ПРИЈЕПОЉЕ,PRIJEPOLJE,0.00,0.00,6.21,31.99,54.95,6.85,1088.36
"71307","729027",ГОРЊА ВРЕЖИНА,GORNJA VREŽINA,ПАНТЕЛЕЈ,PANTELEJ,0.13,99.87,0.00,0.00,0.00,0.00,266.04
"71307","729094",ДОЊА ВРЕЖИНА,DONJA VREŽINA,ПАНТЕЛЕЈ,PANTELEJ,8.90,91.10,0.00,0.00,0.00,0.00,221.66
"70815","727644",СИЈАРИНА,SIJARINA,МЕДВЕЂА,MEDVEĐA,0.00,3.81,75.73,20.45,0.00,0.00,700.47
