MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,AREA_1,AREA_2,AREA_3,AREA_4,AREA_5,AREA_6,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,DENS_1,DENS_2,DENS_3,DENS_4,DENS_5,DENS_6
"70432","711624",КОПАЊАНЕ,KOPANJANE,ВРАЊЕ,VRANJE,0.00,0.00,3.67,0.90,0.00,0.00,0.00,0.00,39.53,0.00,0.00,0.00,0.00,0.00,10.78,0.00,0.00,0.00
"71161","742376",ДОЊИ СТАЈЕВАЦ,DONJI STAJEVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,5.45,21.57,0.00,0.00,0.00,0.00,343.48,0.11,0.00,0.00,0.00,0.00,63.06,0.01,0.00
"70432","711268",БУЉЕСОВЦЕ,BULJESOVCE,ВРАЊЕ,VRANJE,0.00,0.00,2.84,0.05,0.00,0.00,0.00,0.00,56.95,0.00,0.00,0.00,0.00,0.00,20.07,0.00,0.00,0.00
"71161","742333",ГОРЊИ СТАЈЕВАЦ,GORNJI STAJEVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,1.80,15.37,0.21,0.00,0.00,0.00,59.90,20.18,0.00,0.00,0.00,0.00,33.30,1.31,0.00
"70432","711764",МАРГАНЦЕ,MARGANCE,ВРАЊЕ,VRANJE,0.00,0.00,0.22,1.98,0.00,0.00,0.00,0.00,0.70,7.01,0.00,0.00,0.00,0.00,3.24,3.54,0.00,0.00
"70335","706876",НАЗАРИЦА,NAZARICA,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,7.99,4.77,0.00,0.00,0.00,0.00,15.82,9.48,0.00,0.00,0.00,0.00,1.98,1.99
"70351","707899",КЛИНОВАЦ,KLINOVAC,БУЈАНОВАЦ,BUJANOVAC,0.00,3.70,7.62,0.00,0.00,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70432","711730",ЛЕПЧИНЦЕ,LEPČINCE,ВРАЊЕ,VRANJE,0.00,0.00,5.83,2.14,0.00,0.00,0.00,0.00,99.54,0.00,0.00,0.00,0.00,0.00,17.07,0.00,0.00,0.00
"71161","742295",ГОЛОЧЕВАЦ,GOLOČEVAC,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.03,0.93,7.90,0.16,0.00,0.00,14.87,0.00,0.00,0.00,0.00,0.00,480.79,0.00,0.00,0.00
"70335","706612",БРАНКОВЦИ,BRANKOVCI,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,2.15,7.36,4.83,0.00,0.00,0.00,69.26,0.00,0.00,0.00,0.00,0.00,32.26,0.00,0.00,0.00
