MatBrO,ImeOpsCir,ImeOpsLat,AREA_1,AREA_2,AREA_3,AREA_4,AREA_5,AREA_6,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,DENS_1,DENS_2,DENS_3,DENS_4,DENS_5,DENS_6
"80322",ПЕЋИНЦИ,PEĆINCI,488.51,0.00,0.00,0.00,0.00,0.00,18655.33,0.00,0.00,0.00,0.00,0.00,38.19,0.00,0.00,0.00,0.00,0.00
"70599",КНИЋ,KNIĆ,0.00,347.75,64.38,0.70,0.00,0.00,0.00,13137.59,93.69,2.68,0.00,0.00,0.00,37.78,1.46,3.84,0.00,0.00
"70602",КЊАЖЕВАЦ,KNJAŽEVAC,15.28,401.45,541.64,151.52,79.38,13.01,879.76,25980.68,1398.63,109.58,228.10,28.75,57.56,64.72,2.58,0.72,2.87,2.21
"80039",АЛИБУНАР,ALIBUNAR,597.89,0.00,0.00,0.00,0.00,0.00,18697.72,0.00,0.00,0.00,0.00,0.00,31.27,0.00,0.00,0.00,0.00,0.00
"70351",БУЈАНОВАЦ,BUJANOVAC,0.00,142.36,240.67,41.69,36.13,0.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00,-99999.00
"70076",БАТОЧИНА,BATOČINA,97.71,37.92,0.00,0.00,0.00,0.00,10791.11,601.98,0.00,0.00,0.00,0.00,110.44,15.88,0.00,0.00,0.00,0.00
"70866",НОВА ВАРОШ,NOVA VAROŠ,0.00,1.35,28.26,129.85,422.19,0.50,0.00,119.47,1314.17,6148.37,7503.06,0.00,0.00,88.60,46.51,47.35,17.77,0.00
"80047",АПАТИН,APATIN,380.09,0.00,0.00,0.00,0.00,0.00,26872.99,0.00,0.00,0.00,0.00,0.00,70.70,0.00,0.00,0.00,0.00,0.00
"71099",СМЕДЕРЕВО,SMEDEREVO,444.48,36.90,0.00,0.00,0.00,0.00,101754.79,3874.00,0.00,0.00,0.00,0.00,228.93,104.98,0.00,0.00,0.00,0.00
"70327",БОР,BOR,12.15,486.24,241.94,95.76,20.50,0.00,2250.44,41635.15,800.40,151.35,68.49,0.00,185.17,85.63,3.31,1.58,3.34,0.00
"71102",СМЕДЕРЕВСКА ПАЛАНКА,SMEDEREVSKA PALANKA,360.38,61.21,0.00,0.00,0.00,0.00,45090.97,2024.50,0.00,0.00,0.00,0.00,125.12,33.08,0.00,0.00,0.00,0.00
"80306",ОЏАЦИ,ODŽACI,411.02,0.00,0.00,0.00,0.00,0.00,27564.48,0.00,0.00,0.00,0.00,0.00,67.06,0.00,0.00,0.00,0.00,0.00
"70840",НЕГОТИН,NEGOTIN,468.60,574.70,41.02,5.33,0.64,0.00,29300.01,4581.47,73.49,0.00,0.00,0.00,62.53,7.97,1.79,0.00,0.00,0.00
"71358",ВРАЊСКА БАЊА,VRANJSKA BANJA,0.00,29.40,60.67,51.08,108.50,8.83,0.00,7809.80,560.41,123.31,722.37,20.72,0.00,265.60,9.24,2.41,6.66,2.35
"70084",БЕЛА ПАЛАНКА,BELA PALANKA,0.00,161.10,202.25,84.22,67.19,2.18,0.00,10520.49,426.92,23.37,50.26,29.09,0.00,65.30,2.11,0.28,0.75,13.37
"80284",НОВИ САД,NOVI SAD,609.92,0.00,0.00,0.00,0.00,0.00,320902.73,0.00,0.00,0.00,0.00,0.00,526.14,0.00,0.00,0.00,0.00,0.00
"70335",БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,17.72,105.30,368.62,79.49,0.00,0.00,4304.64,1134.48,1511.23,361.38,0.00,0.00,242.90,10.77,4.10,4.55
"80292",ОПОВО,OPOVO,203.52,0.00,0.00,0.00,0.00,0.00,10022.25,0.00,0.00,0.00,0.00,0.00,49.24,0.00,0.00,0.00,0.00,0.00
"70572",КЛАДОВО,KLADOVO,318.70,297.30,11.12,0.00,0.00,0.00,18923.11,185.36,0.00,0.00,0.00,0.00,59.38,0.62,0.00,0.00,0.00,0.00
"71340",КОСТОЛАЦ,KOSTOLAC,101.21,0.00,0.00,0.00,0.00,0.00,13469.76,0.00,0.00,0.00,0.00,0.00,133.08,0.00,0.00,0.00,0.00,0.00
"80012",АДА,ADA,227.03,0.00,0.00,0.00,0.00,0.00,15897.89,0.00,0.00,0.00,0.00,0.00,70.02,0.00,0.00,0.00,0.00,0.00
"70068",БАЈИНА БАШТА,BAJINA BAŠTA,1.62,141.48,215.09,148.57,165.66,0.80,486.75,19915.34,1286.73,1328.44,1309.64,0.06,300.66,140.76,5.98,8.94,7.91,0.07
"70823",МЕРОШИНА,MEROŠINA,5.81,157.67,26.88,2.98,0.00,0.00,832.13,12560.28,6.86,0.02,0.00,0.00,143.21,79.66,0.26,0.01,0.00,0.00
"80268",НОВИ БЕЧЕЈ,NOVI BEČEJ,608.62,0.00,0.00,0.00,0.00,0.00,22319.69,0.00,0.00,0.00,0.00,0.00,36.67,0.00,0.00,0.00,0.00,0.00
"70319",БОЉЕВАЦ,BOLJEVAC,8.47,402.82,296.33,110.11,9.96,0.04,120.30,11049.80,512.30,9.81,2.71,0.00,14.21,27.43,1.73,0.09,0.27,0.00
"80519",НОВИ САД,NOVI SAD,52.28,36.64,0.36,0.00,0.00,0.00,33775.47,1516.08,8.58,0.00,0.00,0.00,646.11,41.38,24.16,0.00,0.00,0.00
"80276",НОВИ КНЕЖЕВАЦ,NOVI KNEŽEVAC,305.36,0.00,0.00,0.00,0.00,0.00,10406.53,0.00,0.00,0.00,0.00,0.00,34.08,0.00,0.00,0.00,0.00,0.00
"70831",МИОНИЦА,MIONICA,68.34,186.88,61.37,11.84,0.87,0.00,5991.11,6699.90,545.40,0.00,0.00,0.00,87.67,35.85,8.89,0.00,0.00,0.00
"70556",ЗАЈЕЧАР,ZAJEČAR,224.58,762.03,70.70,9.60,1.78,0.00,48432.91,7285.68,21.87,66.26,0.00,0.00,215.66,9.56,0.31,6.90,0.00,0.00
"71323",ПАЛИЛУЛА (НИШ),PALILULA (NIŠ),43.43,61.45,11.96,0.38,0.00,0.00,35700.98,39474.00,0.00,0.00,0.00,0.00,822.09,642.42,0.00,0.00,0.00,0.00
"70041",АРИЉЕ,ARILJE,0.00,72.53,167.54,78.58,30.53,0.00,0.00,14848.05,1680.85,983.48,544.60,0.00,0.00,204.71,10.03,12.51,17.84,0.00
"70297",БОЈНИК,BOJNIK,0.00,210.86,33.91,7.79,11.30,0.00,0.00,9989.27,101.09,18.75,29.23,0.00,0.00,47.37,2.98,2.41,2.59,0.00
"70807",МАЛО ЦРНИЋЕ,MALO CRNIĆE,210.52,58.84,0.00,0.00,0.00,0.00,9777.53,576.31,0.00,0.00,0.00,0.00,46.45,9.79,0.00,0.00,0.00,0.00
"71064",СВРЉИГ,SVRLJIG,0.00,140.51,299.05,31.23,26.50,0.00,0.00,9810.44,3008.57,0.00,38.63,0.00,0.00,69.82,10.06,0.00,1.46,0.00
"70564",ИВАЊИЦА,IVANJICA,0.00,20.93,236.78,278.19,505.63,48.18,0.00,16902.11,7432.46,1707.81,3923.85,33.29,0.00,807.74,31.39,6.14,7.76,0.69
"70050",БАБУШНИЦА,BABUŠNICA,0.00,43.90,244.57,123.18,116.16,0.85,0.00,5679.54,4164.49,548.61,452.26,4.87,0.00,129.39,17.03,4.45,3.89,5.73
"71331",МЕДИЈАНА,MEDIJANA,7.90,2.77,0.00,0.00,0.00,0.00,72756.77,11543.75,0.00,0.00,0.00,0.00,9214.33,4163.97,0.00,0.00,0.00,0.00
"80250",НОВА ЦРЊА,NOVA CRNJA,272.61,0.00,0.00,0.00,0.00,0.00,9188.71,0.00,0.00,0.00,0.00,0.00,33.71,0.00,0.00,0.00,0.00,0.00
"70815",МЕДВЕЂА,MEDVEĐA,0.00,64.49,331.75,105.50,22.19,0.00,0.00,4169.00,1688.36,330.95,15.71,0.00,0.00,64.65,5.09,3.14,0.71,0.00
"71072",СЈЕНИЦА,SJENICA,0.00,0.00,6.86,34.79,997.40,19.32,0.00,0.00,125.28,355.46,24665.49,231.28,0.00,0.00,18.28,10.22,24.73,11.97
"71307",ПАНТЕЛЕЈ,PANTELEJ,0.89,85.79,52.73,2.25,0.06,0.00,2683.31,50319.51,490.18,2.74,0.00,0.00,3005.31,586.51,9.30,1.22,0.00,0.00
"70025",АЛЕКСИНАЦ,ALEKSINAC,166.98,388.84,124.51,19.23,7.40,0.00,33711.95,14267.02,622.54,10.53,0.00,0.00,201.90,36.69,5.00,0.55,0.00,0.00
"71048",ЈАГОДИНА,JAGODINA,217.78,236.73,15.11,0.00,0.00,0.00,67384.47,3675.16,13.04,0.00,0.00,0.00,309.42,15.52,0.86,0.00,0.00,0.00
"70548",ЖИТОРАЂА,ŽITORAĐA,1.05,195.12,16.76,1.20,0.00,0.00,18.97,15296.97,34.13,5.15,0.00,0.00,18.00,78.40,2.04,4.29,0.00,0.00
"70793",МАЛИ ЗВОРНИК,MALI ZVORNIK,26.76,105.75,50.32,1.04,0.00,0.00,10002.26,1512.16,119.74,0.00,0.00,0.00,373.75,14.30,2.38,0.00,0.00,0.00
"71315",ЦРВЕНИ КРСТ,CRVENI KRST,54.47,111.37,15.67,0.00,0.00,0.00,17178.18,15920.06,247.99,0.00,0.00,0.00,315.36,142.94,15.83,0.00,0.00,0.00
"70033",АРАНЂЕЛОВАЦ,ARANĐELOVAC,66.11,300.72,8.96,0.00,0.00,0.00,6059.73,38491.58,97.47,0.00,0.00,0.00,91.66,128.00,10.87,0.00,0.00,0.00
"80233",КУЛА,KULA,481.42,0.00,0.00,0.00,0.00,0.00,40264.67,0.00,0.00,0.00,0.00,0.00,83.64,0.00,0.00,0.00,0.00,0.00
"71056",СВИЛАЈНАЦ,SVILAJNAC,221.58,103.86,0.00,0.00,0.00,0.00,20192.30,2149.78,0.00,0.00,0.00,0.00,91.13,20.70,0.00,0.00,0.00,0.00
"70289",БОГАТИЋ,BOGATIĆ,384.46,0.00,0.00,0.00,0.00,0.00,26829.39,0.00,0.00,0.00,0.00,0.00,69.78,0.00,0.00,0.00,0.00,0.00
"80489",ЧОКА,ČOKA,321.24,0.00,0.00,0.00,0.00,0.00,10282.55,0.00,0.00,0.00,0.00,0.00,32.01,0.00,0.00,0.00,0.00,0.00
"80241",МАЛИ ИЂОШ,MALI IĐOŠ,181.08,0.00,0.00,0.00,0.00,0.00,11240.40,0.00,0.00,0.00,0.00,0.00,62.07,0.00,0.00,0.00,0.00,0.00
"71293",СУРЧИН,SURČIN,288.10,0.00,0.00,0.00,0.00,0.00,45529.87,0.00,0.00,0.00,0.00,0.00,158.03,0.00,0.00,0.00,0.00,0.00
"80497",ШИД,ŠID,655.24,30.51,0.00,0.00,0.00,0.00,31287.77,423.96,0.00,0.00,0.00,0.00,47.75,13.90,0.00,0.00,0.00,0.00
"70521",ЖАБАРИ,ŽABARI,210.90,52.90,0.00,0.00,0.00,0.00,9202.74,1336.17,0.00,0.00,0.00,0.00,43.64,25.26,0.00,0.00,0.00,0.00
"70777",ЉУБОВИЈА,LJUBOVIJA,21.72,143.42,131.99,50.31,8.70,0.00,7109.71,3860.65,1596.93,553.65,105.88,0.00,327.30,26.92,12.10,11.01,12.17,0.00
"70017",АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,1.77,165.76,95.22,49.20,70.32,4.37,204.65,21003.08,2603.80,662.97,499.05,4.17,115.64,126.71,27.34,13.47,7.10,0.95
"80217",КОВАЧИЦА,KOVAČICA,419.72,0.00,0.00,0.00,0.00,0.00,23763.19,0.00,0.00,0.00,0.00,0.00,56.62,0.00,0.00,0.00,0.00,0.00
"70530",ЖАГУБИЦА,ŽAGUBICA,0.99,264.82,368.76,82.77,42.70,0.00,0.00,11449.50,146.53,99.73,10.61,0.00,0.00,43.23,0.40,1.20,0.25,0.00
"70785",МАЈДАНПЕК,MAJDANPEK,88.86,540.63,295.32,6.79,0.00,0.00,7192.45,6723.10,2591.72,0.00,0.00,0.00,80.94,12.44,8.78,0.00,0.00,0.00
"70254",ЧУКАРИЦА,ČUKARICA,125.71,31.31,0.00,0.00,0.00,0.00,158274.18,26169.53,0.00,0.00,0.00,0.00,1259.02,835.91,0.00,0.00,0.00,0.00
"71021",РАШКА,RAŠKA,0.00,70.94,267.50,115.65,162.22,53.83,0.00,18818.74,3389.10,461.38,312.09,308.86,0.00,265.27,12.67,3.99,1.92,5.74
"80225",КОВИН,KOVIN,738.10,0.00,0.00,0.00,0.00,0.00,31959.27,0.00,0.00,0.00,0.00,0.00,43.30,0.00,0.00,0.00,0.00,0.00
"71277",ЛАПОВО,LAPOVO,50.28,4.81,0.00,0.00,0.00,0.00,7540.20,0.00,0.00,0.00,0.00,0.00,149.96,0.00,0.00,0.00,0.00,0.00
"70505",ДИМИТРОВГРАД,DIMITROVGRAD,0.00,15.99,216.80,140.16,91.55,18.61,0.00,8042.91,849.01,211.72,190.92,15.53,0.00,502.92,3.92,1.51,2.09,0.83
"70262",БЛАЦЕ,BLACE,0.00,167.42,113.29,20.53,5.02,0.00,0.00,10101.64,673.35,0.42,0.00,0.00,0.00,60.34,5.94,0.02,0.00,0.00
"80462",ВРБАС,VRBAS,375.51,0.00,0.00,0.00,0.00,0.00,39839.62,0.00,0.00,0.00,0.00,0.00,106.10,0.00,0.00,0.00,0.00,0.00
"71030",РЕКОВАЦ,REKOVAC,6.34,261.03,96.54,2.13,0.00,0.00,441.81,9195.85,292.32,0.20,0.00,0.00,69.72,35.23,3.03,0.09,0.00,0.00
"71285",НИШКА БАЊА,NIŠKA BANJA,0.11,78.98,59.98,5.35,1.06,0.00,36.16,14542.82,91.48,1.26,0.00,0.00,330.09,184.14,1.53,0.24,0.00,0.00
"70513",ДОЉЕВАЦ,DOLJEVAC,44.94,67.19,9.05,0.03,0.00,0.00,11645.42,6134.06,0.00,0.00,0.00,0.00,259.15,91.29,0.00,0.00,0.00,0.00
