MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,Mean_ELEV,P_0–14,P_15–39,P_40–64,P_65+,TDR
"70025","701092",ЛИПОВАЦ,LIPOVAC,АЛЕКСИНАЦ,ALEKSINAC,606.61,10.24,28.92,33.43,27.41,60.39
"70670","721085",КОШЕВИ,KOŠEVI,КРУШЕВАЦ,KRUŠEVAC,147.64,14.10,32.38,38.38,15.14,41.33
"70521","714941",СИБНИЦА,SIBNICA,ЖАБАРИ,ŽABARI,179.37,11.94,27.06,32.10,28.91,69.06
"71102","740624",ГЛИБОВАЦ,GLIBOVAC,СМЕДЕРЕВСКА ПАЛАНКА,SMEDEREVSKA PALANKA,126.42,13.49,30.15,38.45,17.91,45.77
"70262","705233",БРЕЖАНИ,BREŽANI,БЛАЦЕ,BLACE,445.91,12.20,17.07,21.95,48.78,156.25
"71021","736864",БАДАЊ,BADANJ,РАШКА,RAŠKA,1391.37,0.00,0.00,40.54,59.46,146.67
"71315","792039",НИШ (ЦРВЕНИ КРСТ),NIŠ (CRVENI KRST),ЦРВЕНИ КРСТ,CRVENI KRST,202.19,17.63,34.65,34.55,13.18,44.51
"71072","739774",КРСТАЦ,KRSTAC,СЈЕНИЦА,SJENICA,1074.20,22.22,16.67,22.22,38.89,157.14
"70998","735833",ЗДРАВИЊЕ,ZDRAVINJE,ПРОКУПЉЕ,PROKUPLJE,473.11,0.99,10.89,31.68,56.44,134.88
"70483","713694",СВРАЧКОВЦИ,SVRAČKOVCI,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,536.57,11.69,28.35,36.80,23.16,53.49
"70645","719099",НОВИ МИЛАНОВАЦ,NOVI MILANOVAC,КРАГУЈЕВАЦ,KRAGUJEVAC,201.87,16.09,27.72,35.64,20.54,57.81
"70645","719129",ПАЈАЗИТОВО,PAJAZITOVO,КРАГУЈЕВАЦ,KRAGUJEVAC,396.27,8.56,28.88,36.36,26.20,53.28
"70190","704806",СКЕЛА,SKELA,ОБРЕНОВАЦ,OBRENOVAC,75.87,14.37,27.18,36.60,21.85,56.79
"70408","710083",ТРБУШАЦ,TRBUŠAC,ВЛАДИМИРЦИ,VLADIMIRCI,134.07,15.43,32.57,31.71,20.29,55.56
"70254","705195",УМКА,UMKA,ЧУКАРИЦА,ČUKARICA,124.61,13.64,32.81,36.02,17.53,45.27
"70394","709514",ДЕСИНЕ,DESINE,ВЕЛИКО ГРАДИШТЕ,VELIKO GRADIŠTE,160.24,13.49,27.17,31.60,27.75,70.16
