MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,Mean_ELEV,P_0–14,P_15–39,P_40–64,P_65+,TDR
"70017","700045",БОБОТЕ,BOBOTE,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,310.05,8.03,25.42,41.14,25.42,50.25
"70564","716413",РОВИНЕ,ROVINE,ИВАЊИЦА,IVANJICA,878.18,1.69,18.64,33.90,45.76,90.32
"80101","800929",ГРАБОВО,GRABOVO,БЕОЧИН,BEOČIN,254.73,14.00,25.00,36.00,25.00,63.93
"71021","737348",ПИСКАЊА,PISKANJA,РАШКА,RAŠKA,630.86,11.04,28.35,37.66,22.94,51.48
"70343","707082",ВЕЛИКА ГРАБОВНИЦА,VELIKA GRABOVNICA,БРУС,BRUS,809.15,12.79,32.49,34.68,20.03,48.87
"70980","735175",ТАШЕВО,TAŠEVO,ПРИЈЕПОЉЕ,PRIJEPOLJE,625.62,18.29,36.17,36.58,8.97,37.47
"70343","707309",ЗЛАТАРИ,ZLATARI,БРУС,BRUS,396.68,12.50,30.57,34.46,22.47,53.77
"71064","738999",ОКРУГЛИЦА,OKRUGLICA,СВРЉИГ,SVRLJIG,635.47,1.83,14.02,29.27,54.88,130.99
"71021","737437",РАКОВАЦ,RAKOVAC,РАШКА,RAŠKA,1018.50,10.40,17.34,32.95,39.31,98.85
"71307","729086",ГОРЊИ МАТЕЈЕВАЦ,GORNJI MATEJEVAC,ПАНТЕЛЕЈ,PANTELEJ,442.17,12.93,30.44,36.61,20.02,49.14
"70289","705748",САЛАШ ЦРНОБАРСКИ,SALAŠ CRNOBARSKI,БОГАТИЋ,BOGATIĆ,85.26,13.84,29.28,38.98,17.90,46.51
"71145","741850",СЕВОЈНО,SEVOJNO,СЕВОЈНО,SEVOJNO,519.20,14.18,32.56,39.14,14.12,39.48
"80438","804568",МАЛА БОСНА,MALA BOSNA,СУБОТИЦА,SUBOTICA,115.27,13.49,32.62,37.43,16.45,42.74
"71072","739588",ЖИТНИЋЕ,ŽITNIĆE,СЈЕНИЦА,SJENICA,1130.64,26.69,34.12,24.32,14.86,71.10
"70084","703419",ТОПОНИЦА,TOPONICA,БЕЛА ПАЛАНКА,BELA PALANKA,633.78,0.00,13.33,43.33,43.33,76.47
"70548","715255",ГОРЊИ ДРЕНОВАЦ,GORNJI DRENOVAC,ЖИТОРАЂА,ŽITORAĐA,275.61,11.25,25.84,30.70,32.22,76.88
"70939","732648",РАСНИЦА,RASNICA,ПИРОТ,PIROT,530.70,11.38,26.46,33.23,28.92,67.53
"70505","714437",ИЗАТОВЦИ,IZATOVCI,ДИМИТРОВГРАД,DIMITROVGRAD,889.62,0.00,0.00,35.71,64.29,180.00
"70548","715387",КОЊАРНИК,KONJARNIK,ЖИТОРАЂА,ŽITORAĐA,364.86,11.76,15.29,35.29,37.65,97.67
"70874","731048",ШАВЦИ,ŠAVCI,НОВИ ПАЗАР,NOVI PAZAR,666.34,20.61,40.00,30.61,8.79,41.63
"70289","705659",БАНОВО ПОЉЕ,BANOVO POLJE,БОГАТИЋ,BOGATIĆ,80.97,13.58,29.74,36.49,20.19,51.00
"70688","721727",БЕЛО ПОЉЕ,BELO POLJE,КУРШУМЛИЈА,KURŠUMLIJA,478.41,7.37,16.84,41.05,34.74,72.73
"70939","732109",БЕРИЛОВАЦ,BERILOVAC,ПИРОТ,PIROT,589.62,14.58,34.87,39.88,10.66,33.77
"71072","740098",ТУТИЋЕ,TUTIĆE,СЈЕНИЦА,SJENICA,881.22,0.00,27.27,18.18,54.55,120.00
"70726","723860",ВИНА,VINA,ЛЕСКОВАЦ,LESKOVAC,393.99,15.54,20.21,33.16,31.09,87.38
"70726","723932",ГОРЊА БУНУША,GORNJA BUNUŠA,ЛЕСКОВАЦ,LESKOVAC,309.95,12.20,31.98,36.97,18.85,45.04
"71188","744018",РИБАРИЋЕ,RIBARIĆE,ТУТИН,TUTIN,905.59,25.24,40.34,27.77,6.65,46.82
"70688","722120",КУТЛОВО,KUTLOVO,КУРШУМЛИЈА,KURŠUMLIJA,633.61,17.65,5.88,35.29,41.18,142.86
"70726","724157",ДОЊА ЈАЈИНА,DONJA JAJINA,ЛЕСКОВАЦ,LESKOVAC,251.17,13.16,32.58,36.10,18.17,45.61
"70718","723584",ШТУЛАЦ,ŠTULAC,ЛЕБАНЕ,LEBANE,400.61,13.62,21.51,33.33,31.54,82.35
"70718","723231",ГОЛИ РИД,GOLI RID,ЛЕБАНЕ,LEBANE,331.57,11.90,26.19,30.95,30.95,75.00
"70726","724734",НОМАНИЦА,NOMANICA,ЛЕСКОВАЦ,LESKOVAC,231.53,14.29,35.54,33.45,16.72,44.95
"70726","724033",ГОРЊИ БУНИБРОД,GORNJI BUNIBROD,ЛЕСКОВАЦ,LESKOVAC,250.33,14.37,31.97,35.77,17.89,47.61
"70424","710709",БРЕЗОВИЦА,BREZOVICA,ВЛАСОТИНЦЕ,VLASOTINCE,565.82,9.30,17.44,34.88,38.37,91.11
"70726","725161",ШАИНОВАЦ,ŠAINOVAC,ЛЕСКОВАЦ,LESKOVAC,278.66,20.48,29.05,30.95,19.52,66.67
"70424","710806",ДАДИНЦЕ,DADINCE,ВЛАСОТИНЦЕ,VLASOTINCE,470.79,7.95,19.87,33.11,39.07,88.75
"80217","802247",ИДВОР,IDVOR,КОВАЧИЦА,KOVAČICA,75.45,13.45,30.39,35.63,20.53,51.48
"80217","802280",САМОШ,SAMOŠ,КОВАЧИЦА,KOVAČICA,119.80,11.75,25.40,38.45,24.40,56.63
"70424","710750",ГОРЊИ ДЕЈАН,GORNJI DEJAN,ВЛАСОТИНЦЕ,VLASOTINCE,524.96,9.00,17.00,32.00,42.00,104.08
"80101","800899",БАНОШТОР,BANOŠTOR,БЕОЧИН,BEOČIN,185.62,10.09,25.71,40.51,23.69,51.02
"70505","714208",БАРЈЕ,BARJE,ДИМИТРОВГРАД,DIMITROVGRAD,850.99,0.00,13.79,65.52,20.69,26.09
"71188","744069",СЕВЕРНИ КОЧАРНИК,SEVERNI KOČARNIK,ТУТИН,TUTIN,932.55,30.28,41.12,24.86,3.74,51.56
"71170","742775",ГРАБОВАЦ,GRABOVAC,ТРСТЕНИК,TRSTENIK,359.92,14.50,34.35,32.82,18.32,48.86
"71196","744271",МРЗЕНИЦА,MRZENICA,ЋИЋЕВАЦ,ĆIĆEVAC,236.78,11.76,24.06,38.50,25.67,59.83
"71129","740772",БОГДИНАЦ,BOGDINAC,СОКОБАЊА,SOKOBANJA,488.53,11.64,13.01,40.41,34.93,87.18
"70629","718254",МУШИЋИ,MUŠIĆI,КОСЈЕРИЋ,KOSJERIĆ,608.72,9.18,21.97,40.00,28.85,61.38
"70491","714097",РАВНА РЕКА,RAVNA REKA,ДЕСПОТОВАЦ,DESPOTOVAC,646.62,6.52,27.54,43.48,22.46,40.82
"70629","718092",БЈЕЛОПЕРИЦА,BJELOPERICA,КОСЈЕРИЋ,KOSJERIĆ,513.68,12.08,23.02,36.23,28.68,68.79
"70645","718866",ЂУРИСЕЛО,ĐURISELO,КРАГУЈЕВАЦ,KRAGUJEVAC,311.42,17.26,31.39,36.68,14.67,46.91
"71145","741477",БИОСКА,BIOSKA,УЖИЦЕ,UŽICE,738.57,7.11,19.19,36.73,36.97,78.81
"71048","738263",МЕДОЈЕВАЦ,MEDOJEVAC,ЈАГОДИНА,JAGODINA,218.02,15.27,21.37,38.17,25.19,67.95
"70408","709786",БЕЉИН,BELJIN,ВЛАДИМИРЦИ,VLADIMIRCI,93.92,15.64,27.16,37.86,19.34,53.80
"70408","709891",ЈАЛОВИК,JALOVIK,ВЛАДИМИРЦИ,VLADIMIRCI,143.32,13.38,27.19,35.38,24.06,59.84
"70173","704431",МАРКОВАЦ,MARKOVAC,МЛАДЕНОВАЦ,MLADENOVAC,151.89,17.42,31.23,36.94,14.41,46.70
"70912","731692",БОШЊАК,BOŠNJAK,ПЕТРОВАЦ НА МЛАВИ,PETROVAC NA MLAVI,178.59,10.26,28.74,33.72,27.27,60.09
"70700","723061",НЕПРИЧАВА,NEPRIČAVA,ЛАЈКОВАЦ,LAJKOVAC,142.65,13.86,29.04,35.31,21.78,55.38
"71218","744611",ЗВИЗДАР,ZVIZDAR,УБ,UB,133.69,16.80,31.17,32.19,19.84,57.83
"71102","740667",КУСАДАК,KUSADAK,СМЕДЕРЕВСКА ПАЛАНКА,SMEDEREVSKA PALANKA,156.84,13.43,29.94,36.94,19.69,49.51
"70670","721298",МЕШЕВО,MEŠEVO,КРУШЕВАЦ,KRUŠEVAC,217.80,10.83,26.50,35.98,26.69,60.06
"70025","700959",ДОЊИ АДРОВАЦ,DONJI ADROVAC,АЛЕКСИНАЦ,ALEKSINAC,182.16,15.79,30.90,36.57,16.73,48.20
"71064","738891",ЛАБУКОВО,LABUKOVO,СВРЉИГ,SVRLJIG,553.55,0.00,0.00,11.43,88.57,775.00
"70670","720623",БОВАН,BOVAN,КРУШЕВАЦ,KRUŠEVAC,287.22,12.08,23.49,30.20,34.23,86.25
"70980","735086",РАСНО,RASNO,ПРИЈЕПОЉЕ,PRIJEPOLJE,793.58,18.73,31.40,33.25,16.62,54.69
"71064","739090",СВРЉИГ,SVRLJIG,СВРЉИГ,SVRLJIG,382.90,13.99,32.19,38.89,14.93,40.70
"70670","721522",СУВАЈА,SUVAJA,КРУШЕВАЦ,KRUŠEVAC,391.49,10.44,26.60,36.03,26.94,59.68
"71064","738794",ГРБАВЧЕ,GRBAVČE,СВРЉИГ,SVRLJIG,576.34,5.52,9.83,27.82,56.83,165.61
"70866","729701",БУКОВИК,BUKOVIK,НОВА ВАРОШ,NOVA VAROŠ,1143.59,10.46,16.74,38.49,34.31,81.06
"70564","716057",ВРМБАЈЕ,VRMBAJE,ИВАЊИЦА,IVANJICA,961.10,10.53,26.64,37.17,25.66,56.70
"70564","716260",КУШИЋИ,KUŠIĆI,ИВАЊИЦА,IVANJICA,1113.07,12.65,28.71,40.76,17.87,43.93
"71021","737186",КОРЛАЋЕ,KORLAĆE,РАШКА,RAŠKA,651.76,9.71,24.83,38.15,27.31,58.78
"70980","734390",БИСКУПИЋИ,BISKUPIĆI,ПРИЈЕПОЉЕ,PRIJEPOLJE,1163.22,0.00,0.00,8.33,91.67,1100.00
"71072","739804",ЛИЈЕВА РЕКА,LIJEVA REKA,СЈЕНИЦА,SJENICA,1261.18,0.00,0.00,37.50,62.50,166.67
"70971","734144",КАСИДОЛИ,KASIDOLI,ПРИБОЈ,PRIBOJ,762.54,14.12,26.80,38.62,20.46,52.86
"70971","734349",ЦРНУЗИ,CRNUZI,ПРИБОЈ,PRIBOJ,822.45,11.93,31.43,41.18,15.46,37.71
"71315","729329",МЕДОШЕВАЦ,MEDOŠEVAC,ЦРВЕНИ КРСТ,CRVENI KRST,191.24,13.87,32.91,34.74,18.47,47.82
"71072","739561",ДУНИШИЋЕ,DUNIŠIĆE,СЈЕНИЦА,SJENICA,1229.05,30.18,38.46,23.08,8.28,62.50
"70025","701220",ПРЋИЛОВИЦА,PRĆILOVICA,АЛЕКСИНАЦ,ALEKSINAC,182.91,19.18,34.80,31.58,14.44,50.64
"70602","717410",ГРАДИШТЕ,GRADIŠTE,КЊАЖЕВАЦ,KNJAŽEVAC,481.76,0.00,9.09,27.27,63.64,175.00
"70670","721603",ЦРКВИНА,CRKVINA,КРУШЕВАЦ,KRUŠEVAC,251.21,13.07,27.27,33.52,26.14,64.49
"70670","721590",ЦЕРОВА,CEROVA,КРУШЕВАЦ,KRUŠEVAC,254.68,11.94,28.06,36.39,23.61,55.17
"71315","729051",ГОРЊА ТРНАВА,GORNJA TRNAVA,ЦРВЕНИ КРСТ,CRVENI KRST,229.48,7.69,26.92,36.71,28.67,57.14
"70017","700550",СТУБАЛ,STUBAL,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,362.63,15.46,31.43,33.28,19.83,54.55
"70017","700568",СУБОТИЦА,SUBOTICA,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,322.06,10.48,27.46,35.71,26.35,58.29
"71307","729183",ЈАСЕНОВИК,JASENOVIK,ПАНТЕЛЕЈ,PANTELEJ,492.52,15.66,29.29,35.10,19.95,55.29
"70084","703290",МИРАНОВАЦ,MIRANOVAC,БЕЛА ПАЛАНКА,BELA PALANKA,674.97,0.00,0.00,0.00,100.00,0.00
"70670","721042",КОБИЉЕ,KOBILJE,КРУШЕВАЦ,KRUŠEVAC,218.11,15.15,28.07,37.64,19.14,52.18
"70980","734560",ДИВЦИ,DIVCI,ПРИЈЕПОЉЕ,PRIJEPOLJE,727.69,16.08,29.90,33.12,20.90,58.67
"71021","737208",КРЕМИЋЕ,KREMIĆE,РАШКА,RAŠKA,947.83,0.00,3.57,35.71,60.71,154.55
"70599","716910",ГУНЦАТИ,GUNCATI,КНИЋ,KNIĆ,410.04,12.20,26.18,32.35,29.27,70.85
"70874","730262",ДОЈИНОВИЋЕ,DOJINOVIĆE,НОВИ ПАЗАР,NOVI PAZAR,1045.64,2.04,20.41,53.06,24.49,36.11
"70980","734616",ЂУРАШИЋИ,ĐURAŠIĆI,ПРИЈЕПОЉЕ,PRIJEPOLJE,891.91,4.64,17.53,38.66,39.18,77.98
"70017","700436",ПЛОЧА,PLOČA,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,1256.47,14.71,27.33,33.93,24.02,63.24
"70939","732338",ЈАЛБОТИНА,JALBOTINA,ПИРОТ,PIROT,672.50,8.86,11.39,25.32,54.43,172.41
"70297","706094",ПЛАВЦЕ,PLAVCE,БОЈНИК,BOJNIK,304.33,14.16,21.89,28.33,35.62,99.15
"71188","743755",ЛЕСКОВА,LESKOVA,ТУТИН,TUTIN,1214.59,34.93,34.93,21.58,8.56,76.97
"70297","705896",ДРАГОВАЦ,DRAGOVAC,БОЈНИК,BOJNIK,274.54,16.56,30.78,37.11,15.56,47.30
"70653","719641",ЗАСАД,ZASAD,КРАЉЕВО,KRALJEVO,764.29,8.33,20.24,34.52,36.90,82.61
"70050","702226",МАСУРОВАЦ,MASUROVAC,БАБУШНИЦА,BABUŠNICA,891.74,0.00,0.00,20.00,80.00,400.00
"70297","706019",ЛОЗАНЕ,LOZANE,БОЈНИК,BOJNIK,449.00,0.00,14.29,25.00,60.71,154.55
"70971","734110",ЈЕЛАЧА,JELAČA,ПРИБОЈ,PRIBOJ,910.39,2.53,17.72,49.37,30.38,49.06
"71170","743020",ПОПИНА,POPINA,ТРСТЕНИК,TRSTENIK,325.13,11.45,27.71,38.25,22.59,51.60
"70726","724351",ЗАЛУЖЊЕ,ZALUŽNJE,ЛЕСКОВАЦ,LESKOVAC,278.35,12.80,29.38,35.31,22.51,54.58
"70424","710792",ГУЊЕТИНА,GUNJETINA,ВЛАСОТИНЦЕ,VLASOTINCE,686.93,9.26,22.22,38.89,29.63,63.64
"71188","743267",БЛАЦА,BLACA,ТУТИН,TUTIN,948.20,0.00,25.00,37.50,37.50,60.00
"70688","721859",ДАБИНОВАЦ,DABINOVAC,КУРШУМЛИЈА,KURŠUMLIJA,765.13,16.67,24.07,35.19,24.07,68.75
"70505","714500",ПАСКАШИЈА,PASKAŠIJA,ДИМИТРОВГРАД,DIMITROVGRAD,668.70,0.00,16.67,33.33,50.00,100.00
"70939","732451",МИЛОЈКОВАЦ,MILOJKOVAC,ПИРОТ,PIROT,611.33,0.00,0.00,0.00,100.00,0.00
"70726","724777",ОРАШАЦ,ORAŠAC,ЛЕСКОВАЦ,LESKOVAC,379.55,14.29,27.62,35.62,22.48,58.13
"70424","710873",ДОЊИ ПРИСЈАН,DONJI PRISJAN,ВЛАСОТИНЦЕ,VLASOTINCE,543.78,4.37,12.14,33.01,50.49,121.51
"71064","739049",ПЛУЖИНА,PLUŽINA,СВРЉИГ,SVRLJIG,494.86,1.96,4.31,21.57,72.16,286.36
"70564","716162",ЈАВОРСКА РАВНА ГОРА,JAVORSKA RAVNA GORA,ИВАЊИЦА,IVANJICA,1025.40,3.13,9.38,36.46,51.04,118.18
"70050","701980",ВРЕЛО,VRELO,БАБУШНИЦА,BABUŠNICA,762.22,3.85,7.69,29.49,58.97,168.97
"71188","743623",ЖУЧЕ,ŽUČE,ТУТИН,TUTIN,1069.34,30.33,41.80,21.31,6.56,58.44
"70297","705837",ВУЈАНОВО,VUJANOVO,БОЈНИК,BOJNIK,459.30,6.82,9.09,22.73,61.36,214.29
"71188","743879",ОРЉЕ,ORLJE,ТУТИН,TUTIN,1041.91,22.48,43.41,27.13,6.98,41.76
"70602","717860",РАВНО БУЧЈЕ,RAVNO BUČJE,КЊАЖЕВАЦ,KNJAŽEVAC,1061.30,0.00,6.67,20.00,73.33,275.00
"71064","738883",КОПАЈКОШАРА,KOPAJKOŠARA,СВРЉИГ,SVRLJIG,563.02,0.00,2.94,16.18,80.88,423.08
"70670","720712",ВЕЛИКИ КУПЦИ,VELIKI KUPCI,КРУШЕВАЦ,KRUŠEVAC,261.06,12.08,28.59,37.11,22.22,52.22
"70017","700053",БОТУРИЋИ,BOTURIĆI,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,621.80,13.19,28.09,33.62,25.11,62.07
"70653","719471",ВРХ,VRH,КРАЉЕВО,KRALJEVO,1233.30,7.35,13.24,44.12,35.29,74.36
"70017","700126",ВРАНШТИЦА,VRANŠTICA,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,1003.06,9.76,34.15,36.59,19.51,41.38
"71064","739103",СЛИВЈЕ,SLIVJE,СВРЉИГ,SVRLJIG,524.92,2.27,7.95,35.23,54.55,131.58
"70017","700576",ТРЖАЦ,TRŽAC,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,338.68,15.69,27.94,32.84,23.53,64.52
"70602","717169",АЛДИНА РЕКА,ALDINA REKA,КЊАЖЕВАЦ,KNJAŽEVAC,975.78,0.00,0.00,0.00,100.00,0.00
"71064","739065",ПРЕКОНОГА,PREKONOGA,СВРЉИГ,SVRLJIG,572.99,10.11,19.14,35.91,34.84,81.64
"70050","702102",ЗАВИДИНЦЕ,ZAVIDINCE,БАБУШНИЦА,BABUŠNICA,504.44,7.87,17.42,25.56,49.16,132.68
"70688","722421",ПРОЛОМ,PROLOM,КУРШУМЛИЈА,KURŠUMLIJA,851.36,6.87,16.79,32.82,43.51,101.54
"70050","702048",ДОЛ,DOL,БАБУШНИЦА,BABUŠNICA,580.95,2.22,4.44,13.33,80.00,462.50
"71170","742902",МАЛА ДРЕНОВА,MALA DRENOVA,ТРСТЕНИК,TRSTENIK,268.03,13.47,27.44,37.34,21.75,54.39
"70653","719331",БЗОВИК,BZOVIK,КРАЉЕВО,KRALJEVO,1227.81,14.75,31.15,28.42,25.68,67.89
"70653","720003",ПЛАНА,PLANA,КРАЉЕВО,KRALJEVO,956.34,0.00,0.00,30.77,69.23,225.00
"70769","726214",БРАНЧИЋ,BRANČIĆ,ЉИГ,LJIG,199.40,12.74,29.94,35.24,22.08,53.42
"70688","722448",РАСТЕЛИЦА,RASTELICA,КУРШУМЛИЈА,KURŠUMLIJA,1024.41,0.00,0.00,33.33,66.67,200.00
"70688","721883",ДЕДИНАЦ,DEDINAC,КУРШУМЛИЈА,KURŠUMLIJA,555.31,11.58,17.89,24.21,46.32,137.50
"70564","716456",СМИЉЕВАЦ,SMILJEVAC,ИВАЊИЦА,IVANJICA,1136.51,11.21,17.24,35.34,36.21,90.16
"70602","717592",ЈАЊА,JANJA,КЊАЖЕВАЦ,KNJAŽEVAC,701.44,0.00,4.35,47.83,47.83,91.67
"71188","743682",ЈЕЗГРОВИЋЕ,JEZGROVIĆE,ТУТИН,TUTIN,797.16,29.49,34.10,28.57,7.83,59.56
"71188","743259",БИОХАНЕ,BIOHANE,ТУТИН,TUTIN,965.36,23.94,42.25,19.72,14.08,61.36
"70262","705349",ДОЊЕ ГРГУРЕ,DONJE GRGURE,БЛАЦЕ,BLACE,469.19,12.37,23.71,36.08,27.84,67.24
"70939","732281",ДОБРИ ДО,DOBRI DO,ПИРОТ,PIROT,908.50,0.00,0.00,26.32,73.68,280.00
"70505","714453",КАМЕНИЦА,KAMENICA,ДИМИТРОВГРАД,DIMITROVGRAD,949.06,0.00,6.67,46.67,46.67,87.50
"70998","736082",ОБРТИНЦЕ,OBRTINCE,ПРОКУПЉЕ,PROKUPLJE,722.39,9999.00,9999.00,9999.00,9999.00,9999.00
"70998","735655",ГРАБОВАЦ,GRABOVAC,ПРОКУПЉЕ,PROKUPLJE,622.05,0.00,0.00,37.50,62.50,166.67
"80411","804355",СРЕМСКИ КАРЛОВЦИ,SREMSKI KARLOVCI,СРЕМСКИ КАРЛОВЦИ,SREMSKI KARLOVCI,161.20,13.79,32.21,37.26,16.74,43.96
"80101","800945",РАКОВАЦ,RAKOVAC,БЕОЧИН,BEOČIN,221.85,14.06,32.70,39.23,14.01,39.02
"80217","802271",ПУТНИКОВО,PUTNIKOVO,КОВАЧИЦА,KOVAČICA,82.04,11.50,22.50,40.50,25.50,58.73
"70998","736104",ПАСЈАЧА,PASJAČA,ПРОКУПЉЕ,PROKUPLJE,770.72,0.00,3.70,37.04,59.26,145.45
"70718","723410",ПЕРТАТЕ,PERTATE,ЛЕБАНЕ,LEBANE,273.88,12.96,32.85,36.20,17.99,44.81
"70467","712540",ГОРЊЕ ВЛАСЕ,GORNJE VLASE,ГАЏИН ХАН,GADŽIN HAN,477.74,0.00,3.85,24.04,72.12,258.62
"70874","731064",ШТИТАРЕ,ŠTITARE,НОВИ ПАЗАР,NOVI PAZAR,1007.53,10.00,26.00,26.00,38.00,92.31
"71072","740110",УГАО,UGAO,СЈЕНИЦА,SJENICA,1261.77,22.57,36.92,27.85,12.66,54.40
"71021","737283",МУРЕ,MURE,РАШКА,RAŠKA,531.92,11.11,22.22,32.48,34.19,82.81
"70726","723924",ГОРИНА,GORINA,ЛЕСКОВАЦ,LESKOVAC,529.24,15.64,28.22,34.36,21.78,59.80
"70980","734586",ДОЊИ СТРАЊАНИ,DONJI STRANJANI,ПРИЈЕПОЉЕ,PRIJEPOLJE,1144.73,5.06,18.99,37.97,37.97,75.56
"71323","728942",БУБАЊ,BUBANJ,ПАЛИЛУЛА (НИШ),PALILULA (NIŠ),182.67,15.33,31.02,37.23,16.42,46.52
"71072","740101",УВАЦ,UVAC,СЈЕНИЦА,SJENICA,1101.67,0.00,13.33,26.67,60.00,150.00
"70424","710814",ДОБРОВИШ,DOBROVIŠ,ВЛАСОТИНЦЕ,VLASOTINCE,663.99,0.00,0.00,23.61,76.39,323.53
"71072","739332",ВИШЊЕВА,VIŠNJEVA,СЈЕНИЦА,SJENICA,1395.58,9.38,31.25,28.13,31.25,68.42
"70424","710962",КУКАВИЦА,KUKAVICA,ВЛАСОТИНЦЕ,VLASOTINCE,281.68,12.66,31.44,36.90,19.00,46.33
"80217","802263",ПАДИНА,PADINA,КОВАЧИЦА,KOVAČICA,122.45,18.04,31.98,35.36,14.61,48.48
"80349","803464",ХАЈДУЧИЦА,HAJDUČICA,ПЛАНДИШТЕ,PLANDIŠTE,75.47,12.09,28.78,38.96,20.17,47.63
"80152","801658",ПЕРЛЕЗ,PERLEZ,ЗРЕЊАНИН,ZRENJANIN,77.86,13.66,30.80,37.25,18.30,46.96
"70726","724793",ПАДЕЖ,PADEŽ,ЛЕСКОВАЦ,LESKOVAC,747.82,0.00,32.00,28.00,40.00,66.67
"71072","739154",БАГАЧИЋЕ,BAGAČIĆE,СЈЕНИЦА,SJENICA,1054.46,16.67,22.73,40.91,19.70,57.14
"70939","732591",ПОКРЕВЕНИК,POKREVENIK,ПИРОТ,PIROT,808.59,3.51,3.51,24.56,68.42,256.25
"71072","740055",СУШИЦА,SUŠICA,СЈЕНИЦА,SJENICA,1231.42,39.13,13.04,21.74,26.09,187.50
"70084","703087",ГОРЊА ГЛАМА,GORNJA GLAMA,БЕЛА ПАЛАНКА,BELA PALANKA,820.72,13.33,13.33,13.33,60.00,275.00
"71048","738182",КОЧИНО СЕЛО,KOČINO SELO,ЈАГОДИНА,JAGODINA,109.66,14.09,29.14,37.85,18.92,49.28
"70483","713368",ДОЊА ЦРНУЋА,DONJA CRNUĆA,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,441.24,7.75,27.13,38.76,26.36,51.76
"70483","713520",ЛОЧЕВЦИ,LOČEVCI,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,414.84,5.26,21.05,43.42,30.26,55.10
"70602","717401",ГОРЊЕ ЗУНИЧЕ,GORNJE ZUNIČE,КЊАЖЕВАЦ,KNJAŽEVAC,298.91,10.48,25.71,36.67,27.14,60.31
"70386","709468",СТАРО СЕЛО,STARO SELO,ВЕЛИКА ПЛАНА,VELIKA PLANA,113.64,14.34,29.13,35.89,20.64,53.80
"70033","701491",ГАРАШИ,GARAŠI,АРАНЂЕЛОВАЦ,ARANĐELOVAC,339.46,10.79,23.03,43.57,22.61,50.16
"70998","735515",ВОДИЦЕ,VODICE,ПРОКУПЉЕ,PROKUPLJE,519.88,12.50,22.02,36.31,29.17,71.43
"70874","730645",ОСАОНИЦА,OSAONICA,НОВИ ПАЗАР,NOVI PAZAR,882.68,14.38,20.55,37.67,27.40,71.76
"70998","735493",ВИЧА,VIČA,ПРОКУПЉЕ,PROKUPLJE,345.60,7.94,20.63,39.68,31.75,65.79
"70017","700177",ГОРЊЕ РАТАЈЕ,GORNJE RATAJE,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,330.04,12.57,27.66,35.65,24.11,57.94
"70670","721409",ПОЗЛАТА,POZLATA,КРУШЕВАЦ,KRUŠEVAC,272.92,10.08,29.41,33.61,26.89,58.67
"70599","716774",БАРЕ,BARE,КНИЋ,KNIĆ,357.43,12.42,23.91,33.85,29.81,73.12
"70866","729671",БИСТРИЦА,BISTRICA,НОВА ВАРОШ,NOVA VAROŠ,888.26,9.22,22.48,39.34,28.96,61.77
"70688","722375",ПЕПЕЉЕВАЦ,PEPELJEVAC,КУРШУМЛИЈА,KURŠUMLIJA,392.79,0.00,26.67,46.67,26.67,36.36
"70670","720933",ЂУНИС,ĐUNIS,КРУШЕВАЦ,KRUŠEVAC,229.16,11.91,26.62,34.56,26.91,63.46
"71030","737607",ВЕЛИКА КРУШЕВИЦА,VELIKA KRUŠEVICA,РЕКОВАЦ,REKOVAC,365.26,12.70,24.60,30.16,32.54,82.61
"71242","745685",ЈЕЗДИНА,JEZDINA,ЧАЧАК,ČAČAK,481.10,11.79,23.58,34.96,29.67,70.83
"70017","700444",ПОПОВЦИ,POPOVCI,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,486.39,16.67,31.48,34.26,17.59,52.11
"70017","700231",ДОЊА ЗЛЕГИЊА,DONJA ZLEGINJA,АЛЕКСАНДРОВАЦ,ALEKSANDROVAC,279.62,6.69,23.85,40.17,29.29,56.21
"70866","729957",ТИСОВИЦА,TISOVICA,НОВА ВАРОШ,NOVA VAROŠ,1227.03,11.11,14.81,33.33,40.74,107.69
"70360","709093",ТУБРАВИЋ,TUBRAVIĆ,ВАЉЕВО,VALJEVO,560.76,13.48,24.45,35.74,26.33,66.15
"70360","708593",ЖАБАРИ,ŽABARI,ВАЉЕВО,VALJEVO,313.20,11.22,28.93,41.40,18.45,42.20
"70629","718157",ГОДЉЕВО,GODLJEVO,КОСЈЕРИЋ,KOSJERIĆ,543.03,9.73,23.35,34.24,32.68,73.65
"71188","743232",БАЋИЦА,BAĆICA,ТУТИН,TUTIN,1118.79,31.42,38.72,21.46,8.41,66.18
"71064","738760",ВЛАХОВО,VLAHOVO,СВРЉИГ,SVRLJIG,644.51,0.93,8.41,36.45,54.21,122.92
