MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,ChgCLC_211,ChgCLC_221,ChgCLC_222,ChgCLC_231,ChgCLC_242,ChgCLC_243,ChgCLC_31,ChgCLC_321,ChgCLC_324,ChgCLC_411,Decl/Grow
"70351","708054",ОСЛАРЕ,OSLARE,БУЈАНОВАЦ,BUJANOVAC,2.73,0.00,0.00,-0.14,-37.06,-15.82,-10.58,0.00,13.18,0.00,No data
"70335","706949",РИБАРЦИ,RIBARCI,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,-0.69,0.00,2.32,43.69,-22.91,-22.41,0.00,Population decline
"70351","707694",БУЈАНОВАЦ,BUJANOVAC,БУЈАНОВАЦ,BUJANOVAC,41.91,0.00,0.00,-26.01,144.98,-200.17,0.06,1.69,-9.67,0.00,No data
"71161","742511",РАДОВНИЦА,RADOVNICA,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,-60.02,-0.01,236.09,118.23,-132.46,-199.57,0.00,Population decline
"70351","707775",ДОБРОСИН,DOBROSIN,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,0.00,-0.50,-0.00,-0.68,0.22,0.97,0.00,No data
"70432","711667",КОЋУРА,KOĆURA,ВРАЊЕ,VRANJE,0.00,0.00,0.00,0.00,0.00,153.53,66.34,-27.52,-192.35,0.00,Population decline
"70351","707996",ЛУЧАНЕ,LUČANE,БУЈАНОВАЦ,BUJANOVAC,-4.22,0.00,0.00,-0.12,-50.23,-23.47,-108.25,0.00,152.80,0.00,No data
"70351","708003",ЉИЉАНЦЕ,LJILJANCE,БУЈАНОВАЦ,BUJANOVAC,49.14,0.00,0.00,-17.83,-117.62,65.87,12.21,-0.14,8.36,0.00,No data
"70432","711373",ГОРЊЕ ПУНУШЕВЦЕ,GORNJE PUNUŠEVCE,ВРАЊЕ,VRANJE,0.00,0.00,0.00,0.00,0.00,13.17,69.80,-19.55,-63.41,0.00,Population decline
"70432","711829",МИЛАНОВО,MILANOVO,ВРАЊЕ,VRANJE,14.68,0.00,0.00,0.00,-37.05,23.05,-0.68,0.00,0.00,0.00,Population decline
"70432","711365",ГОРЊЕ ЖАПСКО,GORNJE ŽAPSKO,ВРАЊЕ,VRANJE,-0.67,0.00,0.00,0.00,-0.08,-8.26,8.94,0.07,0.00,0.00,Population decline
"70432","711357",ГОРЊА ОТУЉА,GORNJA OTULJA,ВРАЊЕ,VRANJE,0.00,0.00,0.00,0.00,0.00,-34.66,-0.79,0.32,35.13,0.00,Population decline
"71161","742473",НОВИ ГЛОГ,NOVI GLOG,ТРГОВИШТЕ,TRGOVIŠTE,0.00,0.00,0.00,0.00,0.00,-67.50,23.39,-2.97,47.08,0.00,Population decline
"70335","706639",БРЕСНИЦА,BRESNICA,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,0.00,127.47,-14.49,-9.04,-103.93,0.00,Population decline
"70335","706965",ЦРНОШТИЦА,CRNOŠTICA,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,0.00,81.75,-344.79,-49.74,312.78,0.00,Population decline
"70351","707813",ЖБЕВАЦ,ŽBEVAC,БУЈАНОВАЦ,BUJANOVAC,151.86,0.00,0.00,0.00,-234.33,-84.14,-0.43,0.11,141.46,0.00,No data
"70432","711454",ДОЊЕ ЖАПСКО,DONJE ŽAPSKO,ВРАЊЕ,VRANJE,-1.25,0.00,0.00,0.00,41.89,-66.34,-0.06,0.07,0.00,0.00,Population decline
"70351","708224",ТУРИЈА,TURIJA,БУЈАНОВАЦ,BUJANOVAC,-0.19,0.00,0.00,0.32,0.52,-0.85,-1.10,0.00,1.30,0.00,No data
"70432","711381",ГОРЊЕ ТРЕБЕШИЊЕ,GORNJE TREBEŠINJE,ВРАЊЕ,VRANJE,34.40,0.00,0.00,-33.73,-14.85,13.10,-13.19,0.00,12.81,0.00,Population decline
"70351","708127",РАКОВАЦ,RAKOVAC,БУЈАНОВАЦ,BUJANOVAC,118.20,0.00,0.00,-9.14,52.31,-222.57,0.00,0.00,0.00,0.00,No data
"70432","711420",ДАВИДОВАЦ,DAVIDOVAC,ВРАЊЕ,VRANJE,13.99,-31.71,0.00,0.00,-1.03,-21.43,0.00,0.00,14.12,0.00,Population decline
"71358","712124",СТАРИ ГЛОГ,STARI GLOG,ВРАЊСКА БАЊА,VRANJSKA BANJA,0.00,0.00,0.00,0.00,0.00,-0.21,3.42,-64.72,61.51,0.00,Population decline
"70432","711209",БАРБАРУШИНЦЕ,BARBARUŠINCE,ВРАЊЕ,VRANJE,0.00,0.00,0.00,93.12,0.00,-116.20,-0.00,-99.17,122.26,0.00,Population decline
"70432","711985",РАТАЈЕ,RATAJE,ВРАЊЕ,VRANJE,98.14,0.00,0.00,0.00,-75.05,-50.18,0.91,0.00,0.13,0.00,Population decline
"71358","711659",КОРБУЛ,KORBUL,ВРАЊСКА БАЊА,VRANJSKA BANJA,0.00,0.00,0.00,0.00,0.00,0.00,-27.09,-0.36,27.44,0.00,Population decline
"70351","707902",КОНЧУЉ,KONČULJ,БУЈАНОВАЦ,BUJANOVAC,0.00,0.00,0.00,0.00,2.87,-51.13,110.05,0.05,-61.84,0.00,No data
"70335","706914",РАЈЧИЛОВЦИ,RAJČILOVCI,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,-4.21,-2.38,71.67,-20.16,-49.94,0.00,Population decline
"70432","712116",СТАРА БРЕЗОВИЦА,STARA BREZOVICA,ВРАЊЕ,VRANJE,0.00,0.00,0.00,0.00,0.00,-12.28,16.25,-9.64,5.67,0.00,Population decline
"70432","712329",ЦРНИ ЛУГ,CRNI LUG,ВРАЊЕ,VRANJE,-0.03,0.00,0.00,0.00,-0.07,0.10,0.00,0.00,0.00,0.00,Population decline
"70432","712019",РИСТОВАЦ,RISTOVAC,ВРАЊЕ,VRANJE,0.06,0.00,0.00,0.00,0.00,-0.06,0.00,0.00,0.00,0.00,Population decline
"70335","706850",МЛЕКОМИНЦИ,MLEKOMINCI,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,-28.62,6.00,40.82,123.05,-21.30,-119.95,0.00,Population decline
"70335","706647",БУЦЕЉЕВО,BUCELJEVO,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,0.00,97.37,147.94,30.18,-275.48,0.00,Population decline
"70335","706787",ДУКАТ,DUKAT,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,0.00,223.37,-191.84,-15.32,-16.21,0.00,Population decline
"70351","708186",СРПСКА КУЋА,SRPSKA KUĆA,БУЈАНОВАЦ,BUJANOVAC,1.85,0.00,0.00,0.00,58.85,-86.72,0.00,0.00,0.37,0.00,No data
"70432","711217",БАРЕЛИЋ,BARELIĆ,ВРАЊЕ,VRANJE,0.00,0.00,0.00,0.00,0.00,77.33,0.10,-0.97,-76.47,0.00,Population decline
"70432","711870",НОВА БРЕЗОВИЦА,NOVA BREZOVICA,ВРАЊЕ,VRANJE,0.00,0.00,0.00,0.00,0.00,98.06,-13.31,-19.13,-65.62,0.00,Population decline
"70432","711853",НАСТАВЦЕ,NASTAVCE,ВРАЊЕ,VRANJE,0.29,0.00,0.00,-0.07,3.29,-57.66,-16.70,-0.19,71.05,0.00,Population decline
"70432","711969",ПРЕОБРАЖЕЊЕ,PREOBRAŽENJE,ВРАЊЕ,VRANJE,79.38,0.00,0.00,0.00,-79.15,-67.32,-37.69,2.87,101.92,0.00,Population decline
"70335","706906",РАДИЧЕВЦИ,RADIČEVCI,БОСИЛЕГРАД,BOSILEGRAD,0.00,0.00,0.00,0.00,13.40,1.97,137.90,-18.67,-134.59,0.00,Population decline
"70432","711284",ВИШЕВЦЕ,VIŠEVCE,ВРАЊЕ,VRANJE,0.00,0.00,0.00,0.00,36.08,135.50,101.88,-41.99,-231.46,0.00,Population decline
