MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,TT_car_min,Acc_Name,Decl/Grow,Acc_Key
"70335","706868",МУСУЉ,MUSULJ,БОСИЛЕГРАД,BOSILEGRAD,30.85,Inaccessible areas with population decline,Population decline,"4"
"70335","706744",ДОЊА ЉУБАТА,DONJA LJUBATA,БОСИЛЕГРАД,BOSILEGRAD,18.16,Accessible areas with population decline,Population decline,"2"
"71358","711586",ИЗУМНО,IZUMNO,ВРАЊСКА БАЊА,VRANJSKA BANJA,5.77,Accessible areas with population decline,Population decline,"2"
"71358","712221",ТОПЛАЦ,TOPLAC,ВРАЊСКА БАЊА,VRANJSKA BANJA,11.82,Accessible areas with population decline,Population decline,"2"
"70432","711837",МИЛИВОЈЦЕ,MILIVOJCE,ВРАЊЕ,VRANJE,14.35,Accessible areas with population decline,Population decline,"2"
"70351","707678",БРЕЗНИЦА,BREZNICA,БУЈАНОВАЦ,BUJANOVAC,,No data,No data,"7"
"70432","711322",ВРТОГОШ,VRTOGOŠ,ВРАЊЕ,VRANJE,17.94,Accessible areas with population decline,Population decline,"2"
"70335","706566",БАРЈЕ,BARJE,БОСИЛЕГРАД,BOSILEGRAD,43.97,Inaccessible areas with population decline,Population decline,"4"
"71358","711691",КУМАРЕВО,KUMAREVO,ВРАЊСКА БАЊА,VRANJSKA BANJA,6.91,Accessible areas with population decline,Population decline,"2"
"70432","712086",СОДЕРЦЕ,SODERCE,ВРАЊЕ,VRANJE,6.98,Accessible areas with population decline,Population decline,"2"
"71358","712060",СЛИВНИЦА,SLIVNICA,ВРАЊСКА БАЊА,VRANJSKA BANJA,28.65,Inaccessible areas with population decline,Population decline,"4"
